,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
15,"Verbal sexual harassment and inappropriate behaviour. 
Lewd comments, lewd questions, disclosure of their personal sex history, life, questions, desires, quandaries. 
Inappropriate commentary on female students. 
Womanizing comments. 
Questioned me about my own sex life, practices. 
Commented on my appearance every time they saw me, one way or another. 
Told stories of past inappropriate behaviour with students and provided justifications. 
Sexualized comments about my students. 
Ranking other departmental members by their looks and intelligence, in addition to ranking students in similar ways. Good looks = intelligence. Some of my students were better looking than me, according to him, and therefore more intelligent than me as well. It's a real ego boost to know that your colleague thinks that your 19 year old students out shine you in the realm of intellectual achievements. 

 One day we were walking down a hallway in a classroom building and a young female student walked by. He turned his head, looked her up and down, and said - Damn, why do they have to be so cute? Couldn't they tone it down to make life easier for us?  

Spoke regularly of the influence he had on my eventual tenure application. ",1st Year Tenure Track Assistant Professor,1st Year Tenure Track Assistant Professor,"Tenured Professor, Senior Professor in Subject Area within department, Designated Departmental ""Mentor""",Male,Male,Psychology,Other Type of School,Undergraduate Student,Graduate Student, Social sciences
1475,Love notes and gifts from a student in my class.,assistant professor (brand new),assistant professor (brand new),undergraduate,Male,Male,Humanities,Research Institute,Faculty,Graduate Student,Humanities
1772,"At ""Visit Day"" in 2014, where accepted graduate students come to the department to learn more/meet colleagues and professors, a seemingly drunk male tenured professor approached us and told an age-ist and sexually explicit joke to me [female grad student] and a female prospective student, and another tenured male professor. He walked away afterward and everyone was shocked and silent.",Graduate student - dissertator,Graduate Student - Dissertator,Tenured Professor and Director of his own research center,Male,Male,Sociology,Regional College,Graduate Student,Chair/Dean/Head, Social sciences
1279,"I was manipulated by a predatory reader/adviser for my dissertation into a sexual relationship.  My primary adviser, and hence first reader, was on family leave, so this second reader became the person I was dependent upon for guidance, mentorship, and affirmation of my work.  (also, my marriage was going downhill at the time, so I was pretty vulnerable)  This second reader invited me out for drinks on a weekly basis, began to ""dis"" my primary adviser and my third reader, and shared with me his marital problems and frustrations.  I was flattered that he thought ""highly"" enough of me to share these confidences and to be so honest with me - and as a clergy person, I was easily drawn in to his need to disclose and share his ""troubles.""  This ultimately led to a sexual relationship while at a conference in England - after my dissertation was turned in, but before my defense.  He could have waited to screw me until after the defense - the fact that he didn't demonstrates the power play involved.  I wound up utterly ""smitten"" (think Monica Lewinsky, here) and also became physically ill - developing ulcerative colitis.  ","As stated above, I was in the process of researching and writing my dissertation when the predatory, manipulative behavior began, and was awaiting defense of my dissertation when the sexual relationship began.","As stated above, I was in the process of researching and writing my dissertation when the predatory, manipulative behavior began, and was awaiting defense of my dissertation when the sexual relationship began.","He was Associate Professor coming up for tenure review, and was my second reader on my diss and adviser.",Male,Male,Religion,Other Type of School,Graduate Student,Faculty,Humanities
356,"About 10 years after I completed my PhD I initiated an affair with someone who had been on my dissertation committee but had moved to another institution. The affair was short lived and not nearly as exciting or interesting as I had hoped. A few years after that, I received a prestigious job offer from his institution, which would double my salary. I would be in a different unit than he and his new wife. After a week of negotiations, the institution rescinded the job offer due to, I later learned, interference by his wife. ",Tenured full professor,Tenured Full Professor,Tenured full professor ,Female,Female,Sociology,Elite Institution,Faculty,Faculty, Social sciences
1248,"Fall 2015, I started my PhD in a new program in the same college where I need received my masters. I was at an orientation get-together for new and current grad students at a local restaurant/bar. Only one prof showed up, but he was drunk, high, and disheveled when he showed up. I thought he was another grad student. 

I didn't chat much with him because I felt his presence, especially in the inebriated condition he was in, was inappropriate. It wasn't long before he made small talk, we discussed the upcoming semester, he assumed I was taking his philosophy course, but I hadn't told him I wasn't because I'd already had philosophy in my masters program. He asked how I felt about the program and I told him I thought I'd have a good time. He smirked, grabbed his beer, chuckled a bit, and said ""I'll make sure of it"" as he took a sip. 

I was so shocked, I sat there for 5 minutes trying to decide if I heard him correctly. My 14yo daughter was there so I got up and we left. The professor said ""see you in class"" and I told him I wouldn't be there. He was shocked and we left. 

I come from tech and am used to off-color comments, but for some reason, this threw me. After a few days I started taking to folks. One, a grad student who was friends with the prof tried to blow it off, ""he always says that, it is nothing!"" And I kept asking myself, and that student, since when does that excuse the behavior? 

Another grad student, male, described a situation where in the philosophy class I was not taking, he witnessed the prof being affectionate toward the female grad students, who happened to be primarily Asian. Then the Prof boasted of his sexual conquests with female Asian grad students in the past to my friend while walking to the bar for class (he held class in the local bars all the time). I was going to let his behavior toward me pass, 

I ended up calling a prof friend in my program and described this whole situation to her. She said they've had suspicion this was happening but no one willing to report it officially. So she suggested I go to the department chair and grad director. I did and they were very supportive and understanding, suggested I go to the Title IX office and file a complaint. It's worth noting that by this time i started feeling depressed.

I filed my report and the Title IX  office kept losing track of it's progress. Nearly six months later and they finally determined that the words the prof spoke we're harmless, he admitted to speaking them, and there was nothing to address other than to have a talk with him about how his words can be misinterpreted and require mandatory sexual harassment training as part of the grad school orientation program for this college. 

When the grad director for sat down with me to go over the report, he want nearly as supportive. Quite the opposite. When the topic of the sexual harassment training came up, the way he introduced it to me was ""now, because of you, we had to add an extra hour to the orientation program."" I shot up and left his office without saying anything else, then informed him a week later I would not return to the program. More gender bias I did not need. ",First year PhD student,First Year Phd Student,Assistant professor,Male,Male,Communication,Research Institute,Graduate Student,Faculty,Humanities
1056,"A well-known economic historian approached me at the Folger Shakespeare Library in the 1990s, when I was finishing my dissertation.  He claimed to be impressed with and interested in my work on early modern economic thought and gender, and I looked up to him as an important mentor and patron.  We were friends for many years, corresponding frequently by email.  He read my work and gave me a lot of helpful advice.   He also came onto me at a conference and pressured me very strongly to come to his hotel room for sex.  When I rebuffed him, he ended his friendship with me entirely.  I have not spoken or heard from him since.  This was a blow, since he had been an important patron.  He has a strong vindictive streak and I wondered what horrible things he told people about me after this incident.  ",Assistant Professor,Assistant Professor,"Patron, mentor, recommender (I depended on him for letters)",Male,Male,English,Research Institute,Faculty,Staff,Humanities
2198,"A student at UC-Santa Barbara exposed his erect penis to me while I was lecturing in class.  No students sat in the front row, and this one did in the middle of the semester.  After class I called the Dean, who wanted nothing to do with the episode.  Told me to report to 'Campus Police. I reported to Campus Police who were outside my classroom for the next lecture, and when that very same student came up to speak to me, I asked him to accompany me out the door, where he was nabbed by the police.  The result: the police reported to me that this was ""a biological accident."" Nothing done.  The student later came to my office complaining that I should have discussed this ""problem"" with him instead of calling the police.  He frightened me, which seemed to be his intention.   Very difficult finishing up the semester with that looming. ","I had completed the Ph.D. UCLA, and was in a part-time lecturer position ","I had completed the Ph.D. UCLA, and was in a part-time lecturer position ","
A Student.
",Male,Male,Geography,Elite Institution,Graduate Student,Undergraduate Student, Social sciences
1039,"There have actually been a number of instances at my institution, both directly related myself and others. There is a tenured faculty member who is known to be ""creepy"" and to look down student's shirts when speaking to them, I was told never to be alone in a room with him, and to always be covered up when speaking to him. This faculty member also likes to get students' phone numbers to talk about things from class, but it is very uncomfortable. Additionally, this same faculty member is known for having failed an entire group of students in class because they were critical of two other females in that class who had gone out for drinks with the faculty member. The graduate school has tried to fire him on numerous occasions, but have not be successful.

Another faculty member was known for having an affair with a former student. 

A graduate student, who is also teaching undergraduate courses, is known for hanging out with, drinking/partying with, dating, and sleeping with undergraduate students. When people complained about it (students and full-time faculty), the department chair said there was nothing he could do about it. 

I personally have had students ask me out and become defensive when I said no. At another institution, a student did this, and then followed me to my car to harass me about why I wouldn't date him. I had to specifically say, ""are you going to follow me to my car?"" for him to leave me alone. 

A friend had a student send her inappropriate emails relating to male genitalia and how he would like to do particular things to her. She complained to the department head who said there was nothing they could do. 

I have also had students question my ability to teach the course by questioning my age and qualifications. 

While it's not exactly sexual harassment, the department at my current institution is also well known for overt sexism and favoritism of white men when making hiring and class assignment choices. ",PhD Student,Phd Student,Professor (tenured),Male,Male,Literature,Regional College,Graduate Student,Faculty,Humanities
192,"My Dean made inappropriate comments to me, including discussing his penis size.",assistant professor,Assistant Professor,"dean of my faculty.  I saw him every single week at least once.
",Male,Male,Religion,Regional College,Faculty,Chair/Dean/Head,Humanities
1164,"While I was a PhD student, my advisor and I were planning to go to a conference. He wanted to book one room, but I felt very uncomfortable. This made him very angry - because there were budget restrictions. Instead he invited another female student to stay with him, she accepted. When we got back from the conference there was a shift in the dynamic that was I was too naive to understand. Effectively this PhD student was allowed to bully me and slowly their influence over the lab grew. My ideas were taken away from me, and given to other students. I was laughed at in lab meetings and my work was largely ignored. In 2008, I took a research internship at Harvard University (I applied largely to get away from my own lab) but this must have elicited some jealousy because the day after this internship was confirmed, I was suddenly accused of data falsification by my advisor. He didn't approach me, he went straight to the dean of Research. My PhD was put on hold while I underwent a 10 month investigation. There was no basis to his claim, and afterwards I was fully exonerated. Turns out the university was also investigating my advisor at the same time for a potential affair with his other student. When the university questioned him - he initially lied, to keep her as a student. But half way through the investigation into the veracity of my work, he left his wife and proposed to his other PhD student. They married later that year. While under investigation he took it upon himself to tell everyone at my university that I had falsified data. To this day I think my reputation in my home country is questioned. When I finally wrote a formal complaint about the way I was treated during my PhD, my university discovered that he had ""unofficially"" been strongly advised to leave his previous position (as an assistant professor at another university) because he had a reputation for sleeping with his students and had subsequently accused 2 of them of falsification. My university also strong armed him into leaving but he works at another university now. ",PhD student,Phd Student,My advisor (association professor),Male,Male,Psychology,Elite Institution,Graduate Student,Faculty, Social sciences
1180,"To me: MA supervisor at Concordia University Canada (***), in private meetings would constantly ask about my 'status' (ie if i was with someone or not,) and would not let the question go if left unanswered. Often pursued this line of questioning, asking about how the relationship was going, if it seemed like it was going to end....  This pales in comparison to what happened with this same supervisor (also her supervisor), to my good friend ""L"": he asked about her status, she ignored it. Conversation changed to how to pay bills... she said she worked in a bar to pay the bills, he hit on her, said something along the lines of 'women like you' and asked her about going to conferences because 'he and his wife had a deal that whatever happens at conferences stays at conferences'. He also normalized student-prof sexual affairs by saying 'he'd done it before'. L called me in absolute panic - neither of us had defended and still had to work with him for roughly a year afterwards.  He was later discovered to have plagiarized from a student's PhD defence for his book, and somehow, never lost his job despite that blatant breach of ethics, despite his sexual harassment.    

I went on to unfortunately have to have him supervise my PhD for a time (he was the dept's only specialist in my field at ConU, i was basically forced to unless i wanted to change institutions, which i couldn't bc there are no other Translation PhD programs in ENG in MTL) until the minor plagiarism scandal. I had a miscarriage during my PhD (two, actually) and when he found out he told me that ""well, you made your choice and waited too long."" 

I have a two year old now, and fuck you, *** is married to a sweetheart,  has two beautiful little girls, and a successful career as a filmmaker, and fuck you, ***. 

Oh yeah, he has daughters. I really hope they can get out from under the horribleness of their father. ",L and I were both MA students who had yet to submit our MA theses. ,L and I were both MA students who had yet to submit our MA theses. ,"*** was our MA Supervisor and tenured faculty. He even is a *** Institute for African and African-American Research, Harvard University, Cambridge, MA. Great eh? ",Male,Male,Translation,Research Institute,Graduate Student,Graduate Student,Humanities
1125,"I keep submitting my entry and deleting it, sigh. Diss adviser (at time) would praise my work one minute, then put it down the next. He oscillated between hyper-attentive and entirely absent. Once after drinking, we had sex. Afterward, adviser refused to talk about it, telling me I was naive. After he'd left my institution and we'd discontinued our advising relationship, we saw each other at a conference. He followed up with a flurry of e-mails insulting me, my research, and my friends. ",Graduate student,Graduate Student,Tenure-track professor,Male,Male,Humanities,Research Institute,Graduate Student,Faculty,Humanities
1647,"My good friend was a physics major at a state university in California which was quite rare in the 1980's. She was doing undergrad research in the lab of the Physics chair. Chair began touching my friend casually from the day she started working in his lab. He spent more and more time in the lab that coincided with her hours.  Within a couple of months, Chair was physically trapping my friend behind lab benches and in corners. He continually made sexually suggestive comments to her. The touching advanced to 'accidental' brushes against her breasts and laying his hand on her behind. I encouraged my friend to go to the dean of physical sciences. She did. Thus began a humiliating experience with the male dean insisting that she bring in witnesses to the abuse. She did. Every one of the other students and the lab assistant were male. They witnessed many of these incidents and never interceded. Still, they did support her claims that Chair did single out my friend and most had seen him touch her inappropriately. The dean had no choice but to discipline Chair and the decision was to remove him as chair of the physics department. The dean told my friend she should avoid Chair. She had already withdrawn from working in the lab. In fact, there was no way for her to avoid Chair since he taught all of the upper level courses she needed to complete her degree. My friend changed her major to accounting and shut the door on her love of physical science. Because a man insisted on viewing a female student as a sex object, we lost a budding female physicist. We still talk about what could have been. My friend carries a great sadness.",undergraduate,Undergraduate,Dept Chair and lab PI,Male,Male,Physics,Other Type of School,Graduate Student,Chair/Dean/Head,Natural sciences
1380,"The second time I was sexually harassed was when I was a graduate student and peer grad student stalked me and harangued me in an attempt to get me to date him.  When I rebuffed his advances, he tried to undercut my status with professors organizing the teaching assignments for graduate TAs.",Graduate student and teaching assistant at R1 university,Graduate student and teaching assistant at R1 university,Graduate student and teaching assistant at R1 university,Male,Male,Biology,Research Institute,Graduate Student,Graduate Student,Natural sciences
1556,"Perpetrator sent email at midnight after department event at his house saying how he was in love with me, how I always brightened his day, how if he wasn't married and I wasn't married, he would be interested in pursuing a relationship, how beautiful I had looked at the event.

I did not respond.

The next day he emailed saying he had been drunk and that he had said too much.

I emailed and said that I was thankful for his support. 

He distanced himself from me in every way and was a committee member in name only. I do not even think he read my dissertation. ",4th year graduate student.,4Th Year Graduate Student.,"Committee member, full professor.",Male,Male,Sociology,Research Institute,Graduate Student,Faculty, Social sciences
1716,"During my PhD program, shortly after I married, my major professor brought me int a room, closed the door and informed me that since I was now married, I should no longer pursue my PhD. After that, he isolated me from the rest of my committee, informed me not to communicate with them, and then told them that I was a failure in maintaining information professional relationships.  He moved to expel me from the doctoral program, and was successful, giving reasons that were false (such as claiming I did not complete requirements of my program by the deadlines).  Even though I presented evidence that proved him false, to my department chair, a committee of professors, the Dean of Graduate students, etc.), I was told that I must have done something wrong and that I should move on in life.  ",Doctoral candidate,Doctoral Candidate,Full professor and my committee chair,Male,Male,Botany,Research Institute,Graduate Student,Chair/Dean/Head,Natural sciences
1404,A senior professor started a sexual relationship with me when I was untenured,unitenured,Unitenured,full prof,Male,Male,History,Research Institute,Faculty,Faculty,Humanities
1765,"I was newly arrived at my field site and the director of the research institute I was affiliated with invited me to lunch, where we spoke about our shared research interests. I was pleased that such a senior scholar found my work interesting. Then he pushed me against a wall and forcibly kissed me, shattering the illusion that he cared about my scholarship at all.",PhD Candidate,Phd Candidate,Director of research institute at my field site,Male,Male,Anthropology,Research Institute,Graduate Student,Chair/Dean/Head, Social sciences
1878,"I briefly dated another more senior professor in the same department. When I tied to break up with her, she told me that she would deny my tenure case unless we got back together. She was chair of the harassment reporting agency. ",Assistant Professor,Assistant Professor,Associate professor,Female,Female,Stem,Research Institute,Faculty,Faculty,Formal sciences
465,"Several incidents in which my diss director commented that she believed I was hitting on/flirting with/had a crush on my research partner to the point we were both really uncomfortable meeting with her together. (FTR, research partner is a close friend and neither of us have feelings for each other beyond friendship, nor have we ever.) Same person would make comments to an entire class about a peer in a class being my ""work husband"" and that we had ""chemistry."" The same person is emotionally abusive to all graduate students with whom she works, and she has the highest attrition rate for graduate students. She manages to make it appear that their attrition is their fault, but it is largely due to her unwillingness to work with them/spend time on their work/talk to them as adults/not insult/etc. She has learned to be verbally abusive and follow it up with emails that make it seem as though she was agreeable. Finally, she latches on to graduate students who have children and forces herself upon the children (hugs, kisses, telling them to refer to her as ""Aunt [name]."" ",Graduate student,Graduate Student,Tenured professor,Female,Female,English,Research Institute,Graduate Student,Faculty,Humanities
1325,"I was harassed verbally and touched inappropriately on multiple occasions, including in public venues.",Administrative staff,Administrative Staff,Full (tenured) professor,Female,Female,Academic Affairs,Regional College,Staff,Faculty,Humanities
1906,"I was the only female in class. Professor announces in class that he will not let ""a woman"" answer any more questions (I had answered previously) and refuses to even acknowledge that I am even in the class.",Undergraduate Student in class ,Undergraduate Student in class ,Professor and Dept. Chair,Male,Male,Geosciences,Elite Institution,Graduate Student,Chair/Dean/Head,Natural sciences
105,"I, out of long dyke-y habit and to protect against my forgetfulness, tend to wear my keys on a carabiner on a belt loop. One day, when we were talking in the hallway, an older male faculty member who was also my sponsor at the institution grabbed the keys at my waist and told me it was a weird thing to wear. I don't think this is a big comparative deal at all, and not really his place to comment on it, but why would he need to touch my hips during a conversation? ",Post-doctoral Research Fellow,Post-Doctoral Research Fellow,"Full time faculty, research mentor",Male,Male,History,Research Institute,Graduate Student,Staff,Humanities
884,"Three different incidents in three different Canadian universities as I worked towards my doctorate in Englisht Language and Literature.  The first involved several approaches by a professor to join his ""groupies"" to share wine and literary discussion.  I believe one or more of my peers became his paramour and I was a distinct outsider for not joining in.  Their marks were quite high!
The second was more serious and involved being stalked by a professor in the department who made several attempts to get in to my apartment accompanied by compliments and then pleas to pursue a relationship and which was only stopped by threats of exposure by my fellow student and myself. Interestingly, while he was not one of my profs, his best friend gave me the lowest mark in the class (all my other marks were in the ""A"" range.)
The third incident may have cost me a position as an assistant professor when I  rejected the advances  of one of the professors on the hiring committee who had invited me into his office after the interview.   This included removing his hand from my knee.","Undergrad, MA candidate, PH. D.a.b.d.","Undergrad, MA candidate, PH. D.a.b.d.",All had tenure,Male,Male,English,Multiple,Graduate Student,Faculty,Humanities
790,"After a conference presentation, in which he commented that my dissertation should never have gotten past defence, the male chair asked me if I would submit a paper to his journal, while staring directly at my breasts.",New Ph.D.,New Ph.D.,He was the panel chair as well as the editor of a major journal in my field. He also held a tenure-track position in my field at an elite university.,Male,Male,History;Jewish Studies,Research Institute,Graduate Student,Graduate Student,Humanities
646,"I am currently a PhD candidate. A few years ago, a former undergraduate advisor was in town to give a talk. We went out for drinks afterwards and got quite drunk. He invited me back to his hotel room and made a pass at me. I refused to sleep with him; fortunately he did not get violent or pressure me further. ",graduate student,Graduate Student,former academic advisor (from undergrad),Male,Male,Humanities;Social Science,Multiple,Graduate Student,Graduate Student,Humanities
413,[redacted],"First and second year graduate student, respectively","First and second year graduate student, respectively","senior tenured, assistant professor (respectively)",Male,Male,Anthropology,Elite Institution,Graduate Student,Graduate Student, Social sciences
1550,"My advisor constantly tried to sleep with me, and he constantly told me he loved me. I never slept with him, and I never said I loved him. He got made at me every time I refused to do those things. He interpreted my rejection of his affection as an indication that I was not a good student and was not passionate about the research that we did together. ",Graduat Student,Graduat Student,Professor,Male,Male,Biology,Elite Institution,Graduate Student,Faculty,Natural sciences
1630,"After two major presentations to the board of trustees, at which males also presented, the VP of Academic Affairs (CAO) walked in front of the board of trustees and all in the room and learned down and gave me a big hug without asking and said great job sweetie.  This same response was not given to the men who presented at the very same meeting.",Associate Professor and Chair of Accreditation Steering Committee,Associate Professor and Chair of Accreditation Steering Committee,Chief Academic Officer - VP of Academic Affairs,Male,Male,Biology,Other Type of School,Chair/Dean/Head,Chair/Dean/Head,Natural sciences
2036,"I was on a leadership committee for a scholars program. The managing faculty member had a graduate student assistant. The graduate student got my phone number from the committee list and proceeded to call and text me repeatedly, asking for a romantic relationship. I declined. He told me he would wait for me. I told him not to. He continued to text me and harass me in person.",Sophomore undergraduate,Sophomore Undergraduate,Graduate Student,Male,Male,Environment,Research Institute,Graduate Student,Graduate Student,Natural sciences
1075,"As I was completing my MA, my advisor became increasingly touchy feely. He would place his hands on my hips, my waist, my shoulders when we were in his office. I did my best to dance away. In celebration of my MA defense, he took me to a local restaurant, where he kissed me on the lips. That evening, I emailed him to say that I had not consented to the kiss and did not want it to happen again. He admitted to it and replied that it was an ""unintended gesture."" But it was clearly planned, as he knew that I had left my husband mere weeks before and that I was in a seriously vulnerable position. ",Just completed MA,Just Completed Ma,Graduate advisor ,Male,Male,History,Research Institute,Graduate Student,Graduate Student,Humanities
185,"Groomed for romantic relationship, gas-lit about what was going on, threatened to keep quiet.",Sophomore undergraduate,Sophomore Undergraduate,"Tenured professor, academic adviser",Male,Male,English,Regional College,Graduate Student,Faculty,Humanities
1929,"He was married to a woman living in another country at the time. Some physical intimacy, lots of cybersex. It was consensual at first, but then when I wanted to break it off he wouldn't let it go. Used a lot of manipulation to keep me involved and close. I should have known better to see through it, but I'd never been in a relationship before.",undergraduate,Undergraduate,lecturer in my major department,Male,Male,Ancient Languages,Elite Institution,Graduate Student,Graduate Student,Humanities
