,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
745,"This is just the worst of several harassers during that degree: From 1999 to 2002 a classmate slowly morphed into a cyber-stalker. Some of the lowlights included: 1) discovering that he had programmed a tracking app that checked every 5 minutes whether I was logged in, and in what room, which explained why he always seemed to show up wanting attention as soon as I arrived at work, 2) the time he insisted that I really meant yes even though I was repeatedly shouting no, because some guy had once told him that erect nipples indicate arousal (it was a hot Saturday afternoon, and I'd briefly gone into the air-conditioned office to grab something, while wearing a tank top), so he wouldn't stop hugging me, 3) the other time he wouldn't stop hugging me and I had to pour my drink down his back to get him to back off, 4) the time he physically blocked me from leaving his apartment, insisting I had to sleep there, then after I tricked him into complacency by pretending to give in, and made a run for the door, he threatened to throw himself over the banister of the very steep staircase if I didn't stop (I did finally convince him to let me leave), and finally, 5) after I cut off all contact, stopped answering my office phone, and told others in my lab not to let him in, he hacked into my email so that he received a copy of all of my incoming mail for 2 months, then unsatisfied with only getting incoming mail not outgoing mail, tried to hack further into the system and finally got caught by the sys admins.",grad student,Grad Student,grad student in same department,Male,Male,Computer Science,Research Institute,Graduate Student,Graduate Student,Formal sciences
932,"Cohortmate with whom I had a close relationship subjected me to repeated phone calls, stalking including showing up at my apartment unannounced, creating scenes at social events when I didn’t pay enough attention to him, and trying to turn mutual friends against me when I chose to date other people instead of him. Many people witnessed this behavior and he was never seen as anything more than “lovesick and not handling it well” because he was such a “nice guy.” When confronted about his behavior, he told me he felt he deserved to date me because he had put so much effort into our friendship.",Ph.D student,Ph.D Student,Ph.D. student,Male,Male,American Studies,Multiple,Graduate Student,Graduate Student,Humanities
226,"I was in a very competitive program with five other people in my cohort. One person in the group was very aggressive toward the rest of us because he thought it could give him an edge. He tried to systematically discourage all of us in different ways. For some, he pretended to give advice on what this or that professor liked to see in student presentations; it was of course the opposite of what the professor really wanted to see. For others (one woman in particular) it was making constant disparaging comments regarding her intellect; for me it was sexual aggression. He would slap my rear very hard in public and lick my face out of the blue. He also would call me late at night and talk about intimate matters. He asked me to help him set up his internet dating profile (which I actually did--this was before the real aggressive behavior started and I thought I was helping a friend.)",Graduate student,Graduate Student,"Same, but he was the ""golden boy"" of the department as far as the professors were concerned. They did not see his secret Machiavellian nature.",Male,Male,Music,Multiple,Graduate Student,Graduate Student,Humanities
2277,"Gang stalked and harassed by faculty members after I was no longer a student. A male faculty who works with the Veteran students at CCBC made me aware that his wife no longer has sex with him. Each time I had to register for classes, he would take me aside and ask deep personal questions about my life. He told me that he had sexual dreams about me. He made sure that my file was always hidden on his desk. No one else could touch my file. They couldn't even find it. It was normal procedure for me to be forced to wait there for up to 2 hours while they fiddled around looking for my file, called my professors to make sure I could take the class, emailed them and insisted I wait for an email response, and whatever else they were doing. I always had permission to be in the class from the professors and the VA doesn't care what classes I take, so long as this is an accreditted college. So because the admin person was sexually harassing me, I was also forced to endure mistreatment based on my protective status as a veteran. After everything was filled out, this sexual harasser would then insist on sitting down and reviewing my entire career at the school, claiming he could not read his writing. When I complained to the head of the VA, he insisted angrily that the sexual harasser worked in the finance office. That he does but he also represented the Veterans at the school. The head of the VA department for CCBC did not care that I was being sexually harassed or that I was forced to wait 2 hours at the Veterans desk at the finance office. He wasn't listening and was instead angry that I refused to go to his frat party where alcohol was served. He then insisted that I was mentally ill for using the adult words, ""CYA"" and ""BS."" What I meant was that these people refused to allow me to leave their office until they had covered their butts that the class was paid for and that I would not sue CCBC if I took an elective for fun that I wanted, seeing as I already have a degree and the classes I took with them were just for fun. And it is totally BS that they would force me to stand there and wait in their office for hours while they track down professors who have a life. I said nothing wrong but this abusive faculty member told me I was insane and that he was calling the behavioral health department to punish me for speaking  up to him about the sexual abuse, harassment I had received at CCBC. I had already told him that I had quit the campus a week before. Needless to say the abusive woman at the behavioral health department called me on my cell despite the fact that she had in writing that I was no longer a studdent, and she left a voicemail telling me she would recommend me mental  health treatments. I called her back and asked her to quit stalking me since she knew I was not a student and she had no legal right to call me and because I had done nothing wrong. In this was she was psychologically abusing me and defending piss poor treatment, sexual harrassment, age discrimination, Veteran's discrimination I had recieved, and MANY MANY other students have placed on ratemyprofessor.com, or had told me in person they had suffered. I watched the staff demean and speak down to other students, I watched 2 of my proffessors scream and yell at students and stomp out of the clasroom.Students talked about fights they had with students and named names in front of other students, and students whisper to each other about the staff behind their backs, and sometimes in front of other students. One professsor admitted she hated her careerfield as a child, and hated teaching in public schools. Many of the professors bragged about only getting their degree so they could make money teaching at the college level. I put up with the chronic sexual abuse, psychological abuse, verbal abuse, gang stalking, age discrination and disccrimination against veterans and the over all violent, explosive and hostile environment until I could take no more. ",Former student ,Former Student ,Veteran's admin and the head of the behavioral health department,Various incidents with people of different genders,Other,Art,Other Type of School,Undergraduate Student,Administrator,Humanities
160,"A graduate student peer told me that a faculty member commented to him about my body (and specifically, my ass)",first year graduate student,First Year Graduate Student,faculty member in my department,Male,Male,Psychology,Research Institute,Graduate Student,Faculty, Social sciences
464,Faculty in the Department who she had been meeting with (who would be teaching a class the student wanted to take the following semester) told her he had feelings for her and asked her on a date,PhD student,Phd Student,"Faculty in the same department, future instructor",Male,Male,Political Science,Multiple,Graduate Student,Faculty, Social sciences
2050,Rape,New grad student,New Grad Student,Advanced grad student,Male,Male,English,Research Institute,Graduate Student,Graduate Student,Humanities
1673,I was assaulted during work in the field by another participant on the excavation.,Ph.D. student,Ph.D. Student,Ph.D. student,Male,Male,Near Eastern Languages And Civilizations,Multiple,Graduate Student,Graduate Student,Humanities
760,Professor showed images of female academics in class and critiqued their physical appearance. November 2017. ,undergrad ,Undergrad ,tenured professor ,Male,Male,Art History,Other Type of School,Graduate Student,Faculty,Humanities
282,"A trusted mentor/professor came on to me when we were in his car after our weekly lunch meeting. He told me that he had had feelings for me since my first semester in college (when I was 17, by the way). I was doing an independent study with him over the summer and had to continue meeting one-on-one with him, or else I would not have graduated on time.

Leading up to the incident in his car there had been rumors about him being involved with a student who was older than me, but I had ignored those rumors. I now assume there was some truth to them, at least on his part. I found out years later that, after I had graduated, he kissed another (third) student against her will.",Undergraduate (3rd year),Undergraduate (3Rd Year),Tenured professor/mentor,Male,Male,History,Regional College,Graduate Student,Administrator,Humanities
1871,"At a conference party where there was a lot of alcohol and drinking, a professor from another institution began acting very friendly towards me. Eventually in front of a many other colleagues he put his arm around me, at first in a friendly way, and eventually slipped it down to my waist and then reached from my waist around towards the area of my crotch, basically grabbing my genital area. All this in front of many colleagues during a lovely discussion; I don't know if anyone noticed but no one said anything. I panicked, had to physically pull him away from me, and have since kept quiet about it except mentioning to some other grad students that this prof was drunk and a bit overly flirtatious with me at the event.",PhD student early in my degree,Phd Student Early In My Degree,"Young assistant professor at another university, frequent collaborator with my group. ",Male,Male,Computer Science,Multiple,Graduate Student,Faculty,Formal sciences
938,"Cohortmate with whom I had a close relationship subjected me to repeated phone calls, stalking including showing up at my apartment unannounced, creating scenes at social events when I didn’t pay enough attention to him, and trying to turn mutual friends against me when I chose to date other people instead of him. Many people witnessed this behavior and he was never seen as anything more than “lovesick and not handling it well” because he was such a “nice guy.” When confronted about his behavior, he told me he felt he deserved to date me because he had put so much effort into our friendship.",Ph.D student,Ph.D Student,Ph.D. student,Male,Male,American Studies,Multiple,Graduate Student,Graduate Student,Humanities
1248,"Fall 2015, I started my PhD in a new program in the same college where I need received my masters. I was at an orientation get-together for new and current grad students at a local restaurant/bar. Only one prof showed up, but he was drunk, high, and disheveled when he showed up. I thought he was another grad student. 

I didn't chat much with him because I felt his presence, especially in the inebriated condition he was in, was inappropriate. It wasn't long before he made small talk, we discussed the upcoming semester, he assumed I was taking his philosophy course, but I hadn't told him I wasn't because I'd already had philosophy in my masters program. He asked how I felt about the program and I told him I thought I'd have a good time. He smirked, grabbed his beer, chuckled a bit, and said ""I'll make sure of it"" as he took a sip. 

I was so shocked, I sat there for 5 minutes trying to decide if I heard him correctly. My 14yo daughter was there so I got up and we left. The professor said ""see you in class"" and I told him I wouldn't be there. He was shocked and we left. 

I come from tech and am used to off-color comments, but for some reason, this threw me. After a few days I started taking to folks. One, a grad student who was friends with the prof tried to blow it off, ""he always says that, it is nothing!"" And I kept asking myself, and that student, since when does that excuse the behavior? 

Another grad student, male, described a situation where in the philosophy class I was not taking, he witnessed the prof being affectionate toward the female grad students, who happened to be primarily Asian. Then the Prof boasted of his sexual conquests with female Asian grad students in the past to my friend while walking to the bar for class (he held class in the local bars all the time). I was going to let his behavior toward me pass, 

I ended up calling a prof friend in my program and described this whole situation to her. She said they've had suspicion this was happening but no one willing to report it officially. So she suggested I go to the department chair and grad director. I did and they were very supportive and understanding, suggested I go to the Title IX office and file a complaint. It's worth noting that by this time i started feeling depressed.

I filed my report and the Title IX  office kept losing track of it's progress. Nearly six months later and they finally determined that the words the prof spoke we're harmless, he admitted to speaking them, and there was nothing to address other than to have a talk with him about how his words can be misinterpreted and require mandatory sexual harassment training as part of the grad school orientation program for this college. 

When the grad director for sat down with me to go over the report, he want nearly as supportive. Quite the opposite. When the topic of the sexual harassment training came up, the way he introduced it to me was ""now, because of you, we had to add an extra hour to the orientation program."" I shot up and left his office without saying anything else, then informed him a week later I would not return to the program. More gender bias I did not need. ",First year PhD student,First Year Phd Student,Assistant professor,Male,Male,Communication,Research Institute,Graduate Student,Faculty,Humanities
1190,"(1) A professor invited a student over to her house after she asked for feedback on a presentation. He opened the door wearing his underwear and didn’t change the entire time she was there. (2) A fellow grad student anonymously sent naked photographs of a student in another department to her employers once she graduated and started her new job. Told them she had various STDs and couldn’t be trusted. He was her ex. (3) A fellow grad student stalked and harassed another grad student for 8 months, alternating between begging her to give him a chance and threatening her (or suicide) if she didn’t. She had to call the police on more than one occasion and eventually she left the town our school is in to finish her PhD. (4) Apparently, he did this to several other students as well - begged for sex and lashed out with various threats if they weren’t interested. (5) Another grad student was known to harass women; several of them filed a complaint in our department. ",Graduate Student ,Graduate Student ,"(1) Professor, (2-5) Other grad students in our department ",Male,Male,Sociology,Multiple,Graduate Student,Graduate Student, Social sciences
722,"I was a graduate instructor for an archaeology class during my PhD program. A senior faculty member, who was rumored to have been inappropriate in his advances to students, approached multiple students of mine. He would approach young female undergrads and offer them research opportunities with him in Europe. Essentially, he was asking 19 year-old-girls if they wanted to go to Croatia with him, to be his research assistant. This happened multiple times, over multiple semesters. I asked my department chair for advice, because very excited students would rush in to talk to me about it, he told me to walk those girls into his office. While in there, with me present, he would tell the young ladies that professor in question was a sexual predator, that the University failed to do their due diligence and force him off campus. ",Graduate Instructor for an Archaeology lab associated with an Introduction to Archaeology course.,Graduate Instructor for an Archaeology lab associated with an Introduction to Archaeology course.,Senior professor then emeritus professor,Male,Male,Archaeology;Anthropology,Research Institute,Graduate Student,Graduate Student, Social sciences
1075,"As I was completing my MA, my advisor became increasingly touchy feely. He would place his hands on my hips, my waist, my shoulders when we were in his office. I did my best to dance away. In celebration of my MA defense, he took me to a local restaurant, where he kissed me on the lips. That evening, I emailed him to say that I had not consented to the kiss and did not want it to happen again. He admitted to it and replied that it was an ""unintended gesture."" But it was clearly planned, as he knew that I had left my husband mere weeks before and that I was in a seriously vulnerable position. ",Just completed MA,Just Completed Ma,Graduate advisor ,Male,Male,History,Research Institute,Graduate Student,Graduate Student,Humanities
703,"Continuing hostility from male colleagues toward female colleagues, over the course of a decade of employment. Once I and my female colleagues make it clear that we will not defer to our male peers, we are subject to more exacting standards of evaluation and performance, more onerous teaching assignments, exclusion from institutional support for our academic projects, changes to student grades outside of institutional procedures, and lack of promotion or other institutional benefits. Also, I have been threatened with violence from male students on two occasions (once 8 years ago, and a second occasion 5 years ago). When I initially reported the incidents, administrators told me not to make a police report. When one student continued to make threats, my institution responded in a slow and inadequate manner that further marginalized me in my department and institution, putting me and my students at risk.  The institution only responded once the male partner of a female colleague in a similar situation wrote a strongly worded email to an associate dean.  The institution did not take any measures in response to my female colleague or myself.","Tenure track, as both an assistant and associate professor.","Tenure track, as both an assistant and associate professor.",Chairs of my department and graduate students. ,Male,Male,Architecture,Regional College,Faculty,Graduate Student,Humanities
1943,"My graduate advisor constantly wanted to discuss sexual and personal topics, telling me throughout my PhD that he couldn't wait until I graduated. I sometimes played along, trying to steer the conversation toward more neutral territory, and sometimes closed the conversation down outright. Then he booked a hotel for my graduation night and when I reiterated my lack of interest, got angry, frustrated, and then groped me.",graduate student,Graduate Student,professor,Male,Male,Biology,Multiple,Graduate Student,Faculty,Natural sciences
2134,"Three weeks after my PhD defense, my PhD advisor started making hand-touches that were uncomfortable, and after an occasion where I pulled away, he started acting differently - making disclosures about his sex life, talking about his sex dreams. It changed the nature of the mentoring relationship, and I made a hasty decision to leave the lab because of this. I went to a lab that I hated, and was later unemployed. ",PhD student ,Phd Student ,Faculty (PhD advisor),Male,Male,Life Sciences,Multiple,Graduate Student,Graduate Student,Natural sciences
0,"When I was in grad school a male faculty member ""joked"" to a group of three female PhD students (myself included) who had just mentioned how stressed we were about comps, that ""all [we] had to do was wear tight, low-cut dresses and [we'd be fine.""  Several years later a male faculty member stared at my breasts repeatedly, whenever I passed him in the hallway, etc, to the point where I had to sit on the same side of the table as him during meetings so as to not keep catching him doing it when I was on the opposite side",PhD student/Assistant Professor,PhD student/Assistant Professor,"At least Associate, if not Full at that point",Male,Male,History,Multiple,Graduate Student,Faculty,Humanities
1381,"I reported a threat to a campus doctor who put me in touch with the campus police. The police ignored me but contacted the dept chair who had made her negative feelings for me known. The dept chair read my work email and harassed me for not voting for her to be chair when the dean solicited our votes. She then forced me to sit on a graduate committee with my harasser. she asked him for any incriminating evidence in private gmail communications. He gave her information about my oncological fertility preservation treatments. (we had been friends before the threatening behavior began, so the school tried to call me a liar). I was harassed by the dean and the dept chair about my fertility treatments. It was disgusting. I complained again and was demoted. ",Assistant professor,Assistant Professor,male colleague with help of the dept. chair and the dean,Male,Male,Art History,Research Institute,Faculty,Graduate Student,Humanities
172,A professor in my department (now at a different institution) refused to call me anything but sweetheart for 2 years. He would comment on my pink accessories escalating until he snapped my light pink bra strap.,Pre-comprehensives phd student ,Pre-comprehensives phd student ,Tenured profesor,Male,Male,Stem,Research Institute,Graduate Student,Faculty,Formal sciences
1683,"A person with whom I was doing a problem set tried to force himself on me sexually, even though I tried to politely say no. Ultimately, I had to stop being polite about it. He then started following me after class and tried to apologize by saying 'in my country, no doesn't always mean no.' (He was from Argentina.)","first year grad student, pre-phd program","first year grad student, pre-phd program","classmate, phd student",Male,Male,Mathematics,Research Institute,Graduate Student,Graduate Student,Formal sciences
1359,Professor put hand in my knee and said nothing short of buggering the bishop on the Palace Green would get him fired. Also kept trying to invite himself to my apt.,Grad student overseas for first time,Grad student overseas for first time,Professor sponsoring me abroad ,Male,Male,Musicology,Multiple,Graduate Student,Faculty,Humanities
1256,"It's ongoing. Everyone told me this professor had a reputation of being skeevy, so I was cautious. He made his first year class (I was underage at the time) read and discuss plays regarding bestiality and sex. He drove a number of students out of the theatre department, and was forced onto sabbatical all last school year, we thought to give him time to find a new job. We had 4x as many majors declared during this year, so he clearly was not missed. This year he's back and has started making comments about my appearance and taking pictures of me without my permission.",I'm currently a junior getting my B.A. and it's an ongoing thing.,I'm currently a junior getting my B.A. and it's an ongoing thing.,"head of department, instructor of half of my classes",Male,Male,Theater,Regional College,Undergraduate Student,Head,Humanities
2045,"Among the more minor things such as having my appearance commented on regularly and having male colleagues come into my office without knocking when the door is closed and so on, I have been asked out repeatedly by professors whose courses I was taking as a grad student, asked out repeatedly senior colleagues, groped by a senior male colleague/administrator, received sexually explicit and unsolicited emails from senior male colleagues, been called to an administrator's office because one of these colleagues wanted to understand why I was ""besmirching his name"" even though I hadn't said a word about his behavior, and I have been intimidated in person and via email by perpetrators so that I would not go public about these incidents. ",Grad Student; Assistant Professor,Grad Student; Assistant Professor,Professor when I was a student or senior colleague while I am a ,Male,Male,English,Multiple,Graduate Student,Graduate Student,Humanities
1571,"I was a first year undergrad. I took a philosophy course by a prof who was also the head of a very prestigious publishing house. After a successful exam he approached me to invite me to get involved with the publishing house, which I was really excited about. As soon as I got my first couple of assignments (reviews, social media) he started to flirt with me, invited me to his house ""to see his library"" and said he could make me meet Umberto Eco if I went to the Frankfurt Buchmesse with him. As soon as I understood the threat I felt humiliated and frigthened, wrote an email to him and left the job, never took his class again. Later I learnt that at the time he had a gf in Germany who was his former grad student and an ex-wife he left as soon as she got pregnant. He was around 60 at the time, I was 19.",Undergrad student,Undergrad Student,Full professor,Male,Male,Philosophy,Other Type of School,Graduate Student,Faculty,Humanities
44,"Was sexually harassed (lewd comments, inappropriate evaluations of my work and person) for years. Reported. Nothing was done. Witnessed a tenured faculty member physically assault a student in his office. Reported. Nothing was done. Had students show me firsthand, irrefutable evidence of multiple faculty members and administrators soliciting them for inappropriate relationships (sexts, etc.). Reported. Nothing was done. Was consistently body shamed, humiliated, and plagiarized by female colleagues who were complicit in (or afraid to challenge) the ""boys club."" Reported. Nothing was done. Finally left academia after a decade of trying to power through the toxic culture of my institution. Spent a year in therapy. Lost friends, was blamed or told I was overreacting by former colleagues. Feel embarrassed and frightened to maintain friendships with former colleagues who were sympathetic to my plight. Had to completely rebuild my life. I was a good teacher, a good colleague, a good scholar. My former institution, and my discipline, lost a lot when they lost me. ","Fulltime faculty, untenured","Fulltime Faculty, Untenured","Professor, Associate Professor, Director, Department Head, Program Director",Various incidents with people of different genders,Other,Humanities,Regional College,Faculty,Head,Humanities
2,Kissed on the mouth in front of entire board of a prize committee at dinner following conference (I was the one receiving the prize),Visiting Assistant Professor,Visiting Assistant Professor,They were a tenured prof at another university ,Male,Male,History,Multiple,Faculty,Faculty,Humanities
952,"As a young assistant professor at an art school I noticed an older adjunct faculty member who would lurk in the halls or appear out of nowhere and stare. Other colleagues agreed he was ""creepy."" Fast forward 10 years. I was now department chair and it came to my attention that this same guy, who taught poetry writing, was making female undergraduates pretty uncomfortable. Rather than teaching everyone together in a classroom, he held tutorials in his tiny office with the door closed so that he could work with each individual student on her writing. One student came forward when she received an envelope of poems at her home address (which she had not shared with him -- he had gotten the registrar to tell him where she lived). Although he would deny it, the poems were highly suggestive and personal, mentioning, for example, a tattoo on her leg and the street she lived on. He also called her on her cell phone and asked her questions about her boyfriend. He would have students bring some of their art to class so he could help them translate their inspiration into words; in her case he honed in on a photograph in which she appeared in the background, in the shadows, partly nude. (This was in that tiny office with the door closed.) The student filed a complaint, and I had her taken out of the class and asked another colleague to work with her through the rest of the semester so that she could get credit for the course. This was just the first incident. This student filed a complaint which was adjudicated through a complex system that included both the in-house sexual harassment procedure and the state-wide faculty union grievance process. His defense was that he was working very hard with each student to draw out their creative energy based on what he saw in their work, and of course, they explored all kinds of subjects in their work. The fact that they were 20 years old and he was somewhere in his 70s, supposedly mature enough to know where to draw the line, did not seem to register. He had several advocates in the department, all male and quite senior to me, who argued that his writing poems for the students was a matter of free speech, and that stopping it would cast a shadow over the principles of artistic freedom at the school. The poet was able to keep his job with a stern warning, an order not to have students in his office alone, and a remedial sexual harassment training program -- something required by state law that had not really been enforced for adjunct faculty, putting the university in a position of potential liability. He came to my office in the fall and told me he was very sorry, he now understood, and I would never have any trouble with him again. I told him I hoped he meant it. But of course he kept up the same behavior, choosing new students for his obsession each term. After the students saw that he had not been fired, they were very reluctant to bring new complaints against him, and feeling very upset that I had not been able to get justice for the first student, I did not feel I could push them to complain, as I could make no promises. I could only take the incident to the civil rights officer, but without a formal complaint we could go no further. Every time I went to him and told him I knew what he was up to, he wanted to know who complained, and whined about how he had a constitutional right to face his accuser. He denied and denied, and begged me not to take away the only meaningful thing left in his life. After a couple of these incidents he seems to have understood he couldn't do this with students in his class, but decided it would be ok to stalk random students he saw in the halls. Two years after my term was up, he turned his attention to a graduate student, followed her to the cafeteria, invited himself to have lunch with her, offered to help her with recommendations, etc. She didn't like it but she felt she had to be polite to a professor. Then he wrote a little play and e-mailed it to her. There was immediately a second e-mail saying ""maybe you shouldn't open that other e-mail but just delete it."" Naturally she opened it. It was very explicit. She brought it to public safety, who called HR, and at last he was escorted out of the building and banned from campus. The grievance procedure dragged on for over a year with his old friends declaiming over and over the violation of his civil rights, but the firing was upheld at last.",Chair of a large liberal arts department,Chair of a large liberal arts department,Adjunct professor,Male,Male,Art History,Other Type of School,Head,Faculty,Humanities
1101,"Several experiences at conferences-- met senior male professors as I am on the job market. Then after the conferences, they asked me to have more ""relax"" and ""informal and private"" conversation at ""nice and moody"" restaurant dinner / drinks. I simply pretended not read /listen the messages, or sometimes counter-proposed if I can talk about my job at his institution or coffee shops. they never responded back. ","PhD candidate, Job candidate","Phd Candidate, Job Candidate",full professor,Male,Male,Social Science,Research Institute,Graduate Student,Faculty, Social sciences
323,"From day one of being hired, I was pursued sexually by my department chair. I was 30, he was 55. He would openly announce his attraction to me in front of students and colleagues. He would openly in front of others express his love for me, describing that he felt about me the same love and attraction as he did for his wife when he first met her. Seeing me, even from afar, would lead to his coming my way to hug me, compliment my looks, my attire, my smile. He would refer to me as his very own Greek goddess. He would call me to meetings in his office to tell me his personal problems and seek my care of him, which when I did not give, made me pursue me all the more fiercely. He declared he needed to be a student in my class to learn from me, and attended every class session for my first semester. He would challenge most everything I said in class. After class, he would stand with his groin in my face as I sat in a deskchair talking with students after class. He would block me from getting out of the chair, so that he could keep his dick close to my mouth. One time as I was bending over to pick up my bag, he ran to the front of the room to put his dick in my face so that when I stood up, my face made contact with his entire crotch. I reported each incident to colleagues and my Dean. I was told to ignore him, as he is mentally ill. I was told he is harmless and that I should laugh it off. I was told that nothing he did was really going to harm my professional development because I was so smart and capable of rising above. When I continued to demand an end to his contact with me, and secured a lawyer, the institution finally put in writing that he is not to be my department chair any  more, that he is to stop attending my class, that he is to have no contact with me, that he is not to address me. All this triggered his fury and his behavior became dangerous. He announced to students that he was divorcing me, and posted a sign on his door that because of my hostility towards him, and University invasiveness, that his liberties are being taken away. Students would laugh and joke about it in front of me. They would tease me to take him back because he was so brokenhearted. They reported he would take up regular class time describing his anger towards me as the divorce proceeded. He made regular derogatory comments about me and anything I contributed as an idea during faculty meetings. He wrote a private letter for my tenure file that was later described to me by members of the t & p committee as pages long, filled with hateful descriptions of my incompetence, and that ""couldn't have been crazier if it had been written in crayon."" Private letters were eliminated from tenure review processes shortly after this episode. The harassment lasted a total of six years, until he was took an early retirement option.  Some of my colleagues to this day who supported him are hostile to me for being so cruel to their ""kindly colleague"" who ""suffered from mental illness."" This was 18 years ago.",assistant professor,Assistant Professor,"associate professor, department chair",Male,Male,Rhetoric,Multiple,Faculty,Head,Humanities
475,"At a conference evening event, a guy pushed my against the wall and kissed me while I was looking for the washroom",PhD student,Phd Student,PhD student,Female,Female,Medieval Studies,Multiple,Graduate Student,Graduate Student,Humanities
