,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
10,"Committee member and professor for the class I was TAing called me into his office a few days before my qualifying exam to tell me he found me attractive and his marriage wasn't that great, and that he'd been flirting with me all semester. He thought that because I smiled at his jokes in lecture, I must like him back too. I told him I wasn't interested and he swore several times and asked if I had a boyfriend. He still assumed he'd be my dissertation chair and got upset when I took him off the committee a few months later. ",Humanities,Elite Institution,Male,Graduate Student,Chair/Dean/Head,102
11,During my first semester of my masters program I quickly discovered that the newest male assistant professor for whom I was a TA and RA was sleeping with a friend of mine (second year student) who he not only supervised clinically but was also on her thesis committee. The particularly egregious aspect of all of it was knowing she'd recently lost a parent after a long battle with cancer and she was clearly still grieving. , Social sciences,Research Institute,Male,Graduate Student,Graduate Student,76
12,"2004-2007 As one of only a few girls in the applied math department, I was subject to nearly constant comments that were derogatory. To be honest, I don't think the boys intended to be hurtful-they just didn't know any better. Comments included things said to my face such as ""well, you had an easier time getting in because they had to get girls"" as well as things said to each other while I was in the room (clearly within hearing distance) such as ""The problem with being in this program is that all of the women are so ugly. Not that we could date them even if they weren't because smart women are so unattractive."" When I brought it to the attention of the supervisor, department head, and other officials, I was told that this was something to be expected, and if I couldn't learn to tune  them out, I wouldn't survive in any mathematics endeavor. ",Applied science,Research Institute,Male,Graduate Student,Faculty,158
13,"Dean's ""small talk"" at the beginning of our lunch meeting included a story about how she'd recently volunteered at a sporting event so she could see female athletes naked. Later offered to give me a massage. Same dean kissed a female colleague on the lips at a dinner party, and has sent another female colleague ""thinking of you"" emails.",Humanities,Research Institute,Female,Faculty,Chair/Dean/Head,59
14,"I was an MBA student at a meeting with two faculty members to discuss a recently awarded grant application I had helped submit.  Present at this meeting was a senior male accounting professor and a female who worked in administration and was responsible for government grants.  In that lunch I remember the male  placing his hand on the thigh of the woman in charge of government grants.  He had hoped to do it undetected by me but it was obvious in part, due to her expression.  I had never witnessed anything like this and did not know what to do.  I did nothing and pretended not to have noticed.  She was visibly embarrassed and stiffly took his hand and moved it away from her thigh.  I have often felt remorse at not having said anything and I have no idea whether the accounting professor had a relationship with this administrator or not.  What I do remember is how awkward the situation was how embarrassed the administrator looked when it happened.  She was much younger than him and unmarried.  He was married.  It was certainly inappropriate and my first real encounter with such a thing. ",Applied science,Other Type of School,Male,Undergraduate Student,Faculty,207
15,"Rockstar professor in cultural studies was known to do drugs with and fuck female students, frequently went out drinking with us after meetings, was know to have abused his ex wife. He was involved in our student/ faculty of color anti-racist campus organizing and the only South Asian, radical male prof.  No one that I know of, including feminist of color profs, confronted him- I'm guessing they either didn't know or felt like we ""needed the support"". He didn't hit on me but he did on other young women of color students I was close to. This was in the late 90s",Humanities,Regional College,Male,Graduate Student,Faculty,103
16,"Dude professor (assistant director of our speech & debate team) made lewd comments to and about an undergraduate woman on the team. Like, ""your dress is too short, i can see your ass. if you pull it down, i can see your tits."" ""your shirt is showing off too much of your tits."" ""she's a blow up doll for young college boys"". also, general sex jokes at women. also would intimidate women through the silent treatment and emotional manipulation if we didn't do what he wanted.", Social sciences,Regional College,Male,Graduate Student,Faculty,86
17,"For my sister who refuses to discuss: circa 1999, she was an undergraduate researcher (she was about 21 at the time) who was hired to do data samples at rural location about two hours away. She was working ""for"" [international/male] doctoral candidate. They checked in at hotel and he insisted they share a room with twin beds. She awoke middle of the night to him standing at the end of her bed, possibly masturbating. She told him to go away, called me and I managed to contact a nearby family member who immediately went to pick her up middle of the night. ",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,103
18,"A student at UC-Santa Barbara exposed his erect penis to me while I was lecturing in class.  No students sat in the front row, and this one did in the middle of the semester.  After class I called the Dean, who wanted nothing to do with the episode.  Told me to report to 'Campus Police. I reported to Campus Police who were outside my classroom for the next lecture, and when that very same student came up to speak to me, I asked him to accompany me out the door, where he was nabbed by the police.  The result: the police reported to me that this was ""a biological accident."" Nothing done.  The student later came to my office complaining that I should have discussed this ""problem"" with him instead of calling the police.  He frightened me, which seemed to be his intention.   Very difficult finishing up the semester with that looming. ", Social sciences,Elite Institution,Male,Graduate Student,Undergraduate Student,161
19,My boss's chief of staff (who claims to be gay) would stare at my breasts in one-on-one updates with him about my work. This happened on several occasions. I was perplexed by his behavior. He was also always trying to limit my role in the office. Everyone worked under him in the office and I was a lone wolf who was hired by his boss directly. May be it was his way to make me feel small and uncomfortable. I was very uncomfortable with his stares. This behavior continued for 2.5 years (from Oct 2014 to Dec 2016),Applied science,Elite Institution,Male,Graduate Student,Staff,98
20,"During a four-year graduate program, my partner and I were routinely made the victims of sexual gossip. Fellow graduate students spread malicious rumors about our sex lives with the intent of destroying not only our reputations, but any potential of building relationships both inside and outside of our graduate program. One professor also engaged in the spreading of these rumors. My partner and I were harassed verbally and over the department listserv. One professor altered both of our teaching assignments, a choice that she explained stemmed from our relationship status.  ",Humanities,Research Institute,Other,Graduate Student,Graduate Student,92
21,"There are many incidents that I could report in laboratory, remote fieldwork, and conference settings. One that sticks out was at a national conference when a peer and I were invited to a hotel party with several people I trusted. When I arrived, there were about 10 people in the hotel room, including four senior male researchers in my field. It seemed innocent enough at first, but after being offered a glass of whiskey, one of the senior males grabbed my foot and wouldn't let go. Suddenly, another one of the males was having sex with a former graduate student in the middle of the room. We were all kind of shocked and everyone left the room, but the foot guy kept trying to kiss me on the elevator and another very married senior male wouldn't stop touching my friend. My friend and I eventually escaped, but we were grossed out about these supposedly wonderful researchers. ", Social sciences,Multiple,Male,Graduate Student,Graduate Student,157
22,"My mentor asked me to go to a hotel with him. I laughed and hoped he was joking. He wasn't. He sabotaged my applications to graduate school. When I complained, he got a slap on the hand and I was counseled by the man who handled the complaint that I was not allowed to talk about the matter to anyone else. Of course, I was slandered at my alma mater by the mentor. It took decades to recover and totally altered my chosen career path. Ten years later I was in graduate school in a totally different field. ",Humanities,Regional College,Male,Graduate Student,Staff,99
23,"My advisor admitted, drunkenly, that I reminded him of his ex-wife in ""multiple ways."" This meant he would often be harder on me than any of his other students, and took his anger out on me in ways that were in no way appropriate. I eventually left the field because of his systematic harassment and discrimination. ",Humanities,Research Institute,Other,Graduate Student,Faculty,57
24,"I had befriended one of my current instructors, who was a gay man (I am a cisgender queer man). He was about 10 years older than me. One evening he and I and another student were hanging out having dinner. At one point we were all sitting on a sort of porch swing drinking wine (I was underage). He and the other student started fooling around next to me. I was uncomfortable with this, but then he put his hand on my knee. I got up and walked away. We talked about it later. I just said that it made me uncomfortable and that I wasn't interested. He dropped it. He never tried anything again with me directly, but was always dropping hints and flirting. He made it clear that if I changed my mind, he would take advantage of that.",Formal sciences,Research Institute,Male,Graduate Student,Graduate Student,141
25,"I am a heterosexual man and so was my graduate advisor but that didn't stop him from joking about anally penetrating me on several occasions. No physical abuse ever occurred although he would regularly say things that made me and the other grad students uncomfortable. Screaming at us and throwing things in the lab, sometimes at us but mostly just ""in our direction"", was frequent. I'm a former college athlete, am probably thirty pounds heavier and six inches taller than my advisor, not to mention a third his age. So he was no physical threat to me. He also mentioned once to another grad student that sometimes I looked at him like I was going to punch him in the nose. I would never do that, despite how much he deserved it, because I'm non-violent and professional. This is all to say that no one is immune from this kind of harassment, even straight, male, muscle bound action stars like Terry Crews. He clearly was not actually sexually attracted to me, he just enjoyed the power of being able to say and do horrible things with impunity. Even now that I've left his lab I'm still dependent on him for letters of recommendation, which he uses as another form of leverage and power over me.",Applied science,Regional College,Other,Graduate Student,Faculty,215
26,"At a conference when applying to Ph.D. Programs I met my first choice mentor. He invited me and my research assistant friends to dinner, and after asked if I minded dropping off his laptop at his hotel before meeting up with others at a bar. We were talking about my research interests and I didn’t want to cut short the conversation, and agreed. In the hotel he touched my leg, tried to kiss me repeatedly, and even laid on top of me while encouraging me to reciprocate. I was stunned and wanted to get away without leaving a negative impression. He had/has a lot of status in the field and was worried about upsetting him. I eventually left at 2am, ashamed of not being braver. He emailed me repeatedly after that, as if we had a romantic connection. When I declined the spot in his lab he was clearly emotional and upset. Going elsewhere was a great decision. I still dread running into him at conferences. ", Social sciences,Research Institute,Male,Graduate Student,Faculty,167
27,"Two separate occasions of the American Historical Association. As a younger PhD student (23), I went to my first AHA and was introduced to professors at other universities. One man challenged my on the thesis of my diss, picking apart every answer I gave him. Then, when I mentioned to the group that the heater was broken in my room he handed me his key under the table and said it was hot in his own. At another AHA, this time as a full-time faculty member, I was having a conversation with two male professors from a R1 outside of the conference hotel. It was later in the evening and I was trying to make it back to my room and they hailed a cab and physically tried to put me in it. I had to break free to get back into the hotel, the valet helping me get away. I received an email from one of them the next day (I had not shared my contact information) asking me on a date.",Humanities,Elite Institution,Male,Graduate Student,Faculty,173
28,"At 2010 conference in shared hotel room with cohort, white, male phd candidate put unwanted penis in WoC phd candidate's hand and then on body, other colleagues just laughed and shrugged. White, male phd candidates have inappropriate sexual relations with undergraduate female students. White, male phd candidates and faculty have inappropriate sexual relations with in field study subjects and community liaisons, some known to be underage. ",Humanities,Research Institute,Male,Graduate Student,Graduate Student,67
29,"I don't even know where to start, so many things happened when I was a graduate student. One professor made wildly inappropriate comments and discussions about his sexual past in class. Every class. He once asked me, when I came to class with a bruise on my face from falling off of my bike, ""What? Does your boyfriend beat you or something?"" (in front of the entire class). Another professor physically assaulted me by slapping my arm hard and grabbing it to get me off of a wheelchair ramp (I didn't realize it was a wheelchair ramp, and there wasn't a wheelchair user coming). He later screamed at me in front of undergraduate students. I had a male graduate student peer smack me on the backside with his backpack when were were standing in front of an entire lecture hall full of undergraduates. When I was an undergraduate a departmental admin. assistant started a rumor that I was sleeping with a male professor. Oh, I have also faced some  awful harassment from some male undergraduates, when I was a graduate student and again as a Visiting Assistant Professor.",Humanities,Multiple,Male,Graduate Student,Graduate Student,189
30,"There have actually been a number of instances at my institution, both directly related myself and others. There is a tenured faculty member who is known to be ""creepy"" and to look down student's shirts when speaking to them, I was told never to be alone in a room with him, and to always be covered up when speaking to him. This faculty member also likes to get students' phone numbers to talk about things from class, but it is very uncomfortable. Additionally, this same faculty member is known for having failed an entire group of students in class because they were critical of two other females in that class who had gone out for drinks with the faculty member. The graduate school has tried to fire him on numerous occasions, but have not be successful.

Another faculty member was known for having an affair with a former student. 

A graduate student, who is also teaching undergraduate courses, is known for hanging out with, drinking/partying with, dating, and sleeping with undergraduate students. When people complained about it (students and full-time faculty), the department chair said there was nothing he could do about it. 

I personally have had students ask me out and become defensive when I said no. At another institution, a student did this, and then followed me to my car to harass me about why I wouldn't date him. I had to specifically say, ""are you going to follow me to my car?"" for him to leave me alone. 

A friend had a student send her inappropriate emails relating to male genitalia and how he would like to do particular things to her. She complained to the department head who said there was nothing they could do. 

I have also had students question my ability to teach the course by questioning my age and qualifications. 

While it's not exactly sexual harassment, the department at my current institution is also well known for overt sexism and favoritism of white men when making hiring and class assignment choices. ",Humanities,Regional College,Male,Graduate Student,Faculty,338
31,"On my second day of class in my first year of seminary a professor invited me into his office after class. He asked me a series of personal questions under the guise of offering spiritual direction. He asked explicitly about my divorce and current marital status, then raised his eyebrows and informed me that I certainly could be remarried by now. His class lectures frequently revolved around sex, which was unusual for a class in Christian Church History. He would say inappropriate things to the female students. One day he asked about what we think when a ‘hunk’ walks by. He would also make objectifying statements about women. When I complained about it he would tell me that some feminist theologians think that we need to be talking about push up bras and sexuality. He never respected me as a theologian and made clear his amusement of me, particularly when a male classmate made a disparaging remark towards me. My classmates look up to him and he has a good reputation in the community as a pastor. He claims to be a women’s advocate. I doubted my own experiences until he finally commented on my “slinky dress,” (I was wearing a modest sleeveless blouse behind a podium) in a photo of me at a public speaking event at a local  church. He also made fun of a mutual friend and colleague because I had expressed admiration for him as a chaplain (which is the field I’m preparing for.) He would encourage us to speak up and then remind us that the faculty have so much power over grades, and professional/academic recommendations.
",Humanities,Other Type of School,Male,Graduate Student,Graduate Student,272
32,"I was in supervision with a tenured faculty member at my university and was telling her about a child who drew a picture for me. She responded by telling me that the child likely drew that picture for me because sometimes my cleavage shows. She suggested that in the future, I bend over in front the mirror every day before I leave the house to make sure I feel okay about leaving in what I'm wearing.", Social sciences,Regional College,Female,Graduate Student,Faculty,76
33,"A fellow female PhD in my department was verbally and emotionally abused by her (male Professor) PhD supervisor to the point of suicide. I was her only confident, after it had been going on for years. When I sought help from my department (suicide cannot be kept secret), I experienced victim blaming and silence. My (male) boss tried to walk out of a 'rehabilitation meeting' (to get back to work effectively) to avoid taking responsibility for the situation. Eventually, I left the department (physically by changing offices, though my PhD is still fully connected to the department) to prevent remaining in a constant state of hyper arousal and hyper vigilance and to find peace enough to work and regain my sanity. I am now completely isolated from my department. Good news - the PhD received her degree! The status of her mental health is perhaps less than good news. ", Social sciences,Research Institute,Male,Graduate Student,Graduate Student,150
34,"A dated a fellow graduate student. When we broke up, he stalked me, threatened me, broke into my apartment, and tried to physically attack me. I got a restraining order and he got felony charges. I reported this to my department chair but they continued to offer him TA positions. He then groomed and brutally raped, assaulted, and stalked an undergraduate. After a 2+ year investigation, he was expelled, but his expulsion was overturned and converted to a suspension. He has taught at several small local colleges since then.",Humanities,Research Institute,Male,Graduate Student,Graduate Student,89
35,"I took a course 2-3 years ago co-taught by some ""distinguished"" older history and classics professors at Yale. Many of the assignments were presentation-based, and these professors would make a point of commenting on female students' posture and attire as part of ""presentation feedback."" Of course male students did not receive similar feedback. At one point, rape was discussed by one of the professors (it had come up in a literary work) in a very casual and dismissive way. On the whole, these events made me feel like I was not taken seriously as a female student.",Humanities,Elite Institution,Other,Undergraduate Student,Faculty,97
36,"I feel funny writing this, as I have been very lucky and not experienced the really terrible kinds of things that many others have reported. But I'm writing it anyway, to demonstrate that these kinds of issues have been with us for a long time; and that they stay with you for a long time - in my case, 40 years. My event happened in the mid-1970s. I was a really good teacher and had put in my hours so I would be awarded one of the few lectureship positions available to grad students. I wasn't given the lectureship, and I asked my advisor why.  I'll never forget him telling me that ""You have too much sex appeal to be successful in academia,"" and the award had to go to the student who had the most potential to succeed. Ironically, in a way, that person was a woman, apparently without so much sex appeal.", Social sciences,Research Institute,Male,Graduate Student,Faculty,155
37,"A professor made comments upon the attractiveness of me and my fellow female students. This became a pattern, even past graduation. Female students joked about how they knew not to arrive late to his class, as they would end up sitting next to him and he would habitually stroke or touch the arms of any female students sitting beside him (never male). After an event with wine which both students and faculty members attended, numerous female students shared stories of this professor placing his arm around them and giving them a squeeze, stroking their faces flirtatiously, commenting upon their age in a jokingly flirty manner, and referring to them as ""sweetheart.""",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,111
38,"At a last-night party at a major academic conference in 2015, a senior academic, who knew my face but had spoken to me only once before (a day or two previously, when I'd stopped him after his paper to tell him how his work intersected with my master's thesis), came up to me in a crowded ballroom. I was engaged in conversation with friends. He, approximately a foot taller than me and at least twice my weight, put his arm around my waist and leaned down to whisper into my ear. ""I'm a happily married man, but that dress [that you're wearing] is killing me.""",Humanities,Regional College,Male,Graduate Student,Graduate Student,105
39,"It was my first day at work at Chapman College (now Chapman University), in 1994, as a TT professor with a shiny new degree in gender history. At that time there were no other tenured or tenure-track women in my department but there were two women in the Social Sciences division. Both of them took me aside, separately, to warn me that I should never ever say anything about professors dating students because our dean had just divorced his first wife to marry the undergraduate he had been sleeping with. One defended this by saying that he had waited until the undergraduate had earned her degree before marrying her. I went back on the job market immediately.",Humanities,Regional College,Male,Faculty,Graduate Student,117
40,"After being encouraged to collaborate with another early career colleague in another department who had similar interests (and who I had already been in a few meetings with), this colleague suggested we get together for dinner to talk over our ideas. At that point something should have clicked--why dinner and not coffee, lunch, or even a beer after work? But I went, the dinner was fine, I went home without incident. The next time I saw him, we had  chat in my office and at the end he said he had been surprised to learn I had a husband (who I had mentioned over our meal), because he thought he had felt something between us (keep in mind this guy is also married). I affirmed I was happily married and not looking for anything but a professional relationship. Later that day I got an email apologizing but also digging the hole deeper, ""I thought I felt a spark between us"", etc. ", Social sciences,Research Institute,Male,Graduate Student,Graduate Student,163
41,"Undergraduate male student read creative piece aloud about sexual and/or fantasies with female and male students in the class, referring to us by name. Professor knew of the content of this piece prior to this student reading it aloud and allowed it to be read. In fact, she encouraged it.",Humanities,Research Institute,Male,Graduate Student,Graduate Student,50
42,"When I was a graduate student, every year, students and professors from another university (same department) come to visit our institution to use our libraries and materials. We always host a dinner for them. One year, I sat next to a newly-hired associate professor from the other institution who had I only met briefly years before. As we chatted, I accidentally dropped my silverware on the floor. I leaned under the table to get it, and as I did, bumped his leg with my arm. I apologized. With a smile, he said ""no, that's entirely unacceptable, I'll have to get back at you,"" and he then proceeded to pinch my buttocks. I was stunned, and so I did not say anything. When my adviser across the table saw me looking uncomfortable, he asked, ""what are you all talking about?"" The professor said ""oh nothing, we're simply molesting each other."" I simply turned red, and forced a laugh. My adviser looked confused, but then went back to his conversation. I moved my chair away from him, and quickly found a way to leave the table to socialize elsewhere. Because I almost never see him, and can avoid him when I do, I did not do anything about it. ",Humanities,Elite Institution,Male,Graduate Student,Faculty,208
43,"It was well known that he had had affairs with students before, the age gap between him and his wife made that apparent. We assumed that this was why the girls, they were always girls, who he invited into his inner circle were overwhelmingly queer. He was brilliant and respected and his letters of recommendation were rumored to remain unfinished until they made his wife cry. I babysat his children, did yard work, and bartended his parties. He used to take me to concerts, operas, and plays - just the two of us. He waited until just after I had graduated before he tried to kiss me, while his kids were in the other room. I ducked and made a hasty exit. He was invited to my graduation party, schmoozed with my friends and family, shook my father's hand, and then called me 6 times after he had left to ask if I had really meant it when I said 'love you' to him and his family as they left. He refused me feedback on my final paper unless we could 'go over it one on one' and sent me late night texts about how he missed me and wish we could slip away or travel to italy together. It shook me because he was my mentor throughout college, and I realized that he wasn't grooming me because he thought I was talented or capable, but because he wanted to sleep with me. ",Humanities,Regional College,Other,Graduate Student,Graduate Student,244
44,"When I was an undergrad at the University of Chicago and in the early years of grad school at Penn, I was sexually harrassed by a mentor. He put enormous pressure on me to respond to his desires and I resisted. When he and I moved to Penn, there was a moment when, in a sick moment, he stuck his tongue inside my mouth and I let him feel me. ", Social sciences,Elite Institution,Male,Graduate Student,Faculty,71
45,"When I was a PhD candidate, I was invited back to a  hotel room during a party at a field station by a professor from another university who was planning collaborations with my adviser (and someone who for a brief period I thought might be a future post-doc adviser). I said no thank you, he persisted, and after the third effort to talk me into it despite stating repeatedly that I was happily married, I finally got up, said good night and left the party. I told my adviser about the incident the next day and expressed disinterest in working on any future collaborations. When we got back to the university, he required me to spend lab time on a collaborative project (that took time away from finishing my own work) with this person, despite what I had told him. I was not entirely surprised by this response, sadly, since my adviser also made multiple comments implying I was fat and should take up running during my time in his lab as well.",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,174
46,"My advising professor asked me to sleep with him, and when I said no, he quietly retreated from his adviser roll. I had no backup as he was the last of the discipline in the department. His behavior was well known: he had an open string of girlfriends drawn from the graduate pool over the years. He had one when he hit on me. Presumably she was wowed by trips to France and fine wine. But his contempt for women was obvious. By that time he was in his 60s.
I took my qualifying exams and left the institution to scratch out a study site on my own to complete my dissertation. I fought hard - without meaningful letters of recommendation - for a career in academia. Even still, 20 years later, I do not have a network of invested academics 'who raised me'. 
The response of the institution - a female chair at the time- was cliche. ""Oh that's just how he is and we can't legislate love"".  LOVE?? 
It easily set my career back 10 years, but I guess, after having read so many stories of women ""hounded out"" (excellent terms, btw), I should consider myself ""one of the lucky ones"".
At that time in the late 80s and early 90s, several women were harassed in the short time I was there. The climate at the time gave both senior and junior male profs approval for selecting partners from the grad pool with impunity. ", Social sciences,Research Institute,Male,Graduate Student,Graduate Student,246
47,"After a consensual encounter that turned into sexual assault/rape, he told colleagues in my department and in at least 5 other departments about how I was ""crazy"" and how I wouldn't leave him alone, and that they shouldn't work with me on grants and proposals because I was a ""manipulative slut"" who ""wasn't even that good in bed.""", Social sciences,Research Institute,Male,Graduate Student,Graduate Student,58
48,"In December of 2015, the Chair of my department got angry at me for questioning a scheduling decision and told me that he would like me to ""lift my skirt."" He then proceeded to tell me how many times he ""has thoughts about me"" and had to ""stop himself from coming down to my office."" After I sent him an email asking him not to speak like that to me anymore, he sent me three emails (to my university as well as my private email address) and put a 2-page typed letter under my office door.  He admitted in those emails and the letter what he had said and did.  So, this was not a ""he said/she said"" -- it was a ""she said/he agreed.""  After the email and letter under my door, which very much made my skin crawl, I filled out a harassment complaint.",Applied science,Regional College,Male,Chair/Dean/Head,Chair/Dean/Head,149
49,"11 years ago, there was a party thrown at a graduate student house and a few professors came by. One arrived with his friend and graduate research assistant. He was the only faculty member for there for a portion of the party. While students were drinking, this faculty member starting making comments to one of the women in the graduate program about her looks, the shape of her body, etc. She ignored him, she went to the kitchen to get more wine. He followed her and continued to make comments. She was trying to open the bottle of wine and was having trouble getting the cork out. He started laughing and made a sexually suggestive comment about how it looked as she tugged on the neck of the bottle. All the students were stunned, there was some uncomfortable laughter. This same professor made comments publicly in his classroom about the attractiveness of a female colleague. He was an associate professor, she was a new assistant. He pulled up her ratemyprofessors profiled in class, she had a hot pepper rating for her attractiveness and he put a picture of her up and said that her body was attractive but not her face. He also frequently visited college bars and clubs in downtown College Station claiming it was for his ""research"" and he always went with his grad assistant who was complicit with his behavior. He would take pictures with young blonde undergrads, print them out and post them outside of his office door. ", Social sciences,Research Institute,Male,Undergraduate Student,Faculty,253
50,"A job candidate came to our institution.  During the course of his interview, dinner and job talk he made numerous sexist comments about women, was handsy with the junior female faculty members (hands on arm, touching back, etc) and not with male faculty members, and made all of the junior female faculty feel uncomfortable.  When we expressed this, as a group, to the rest of our department several people still advocated for hiring this person.  ",Natural sciences,Research Institute,Male,Undergraduate Student,Graduate Student,79
51,"He was my English teacher at the university where I did my BA. This was three years ago. He would make comments in class about the boy sitting next to me being unable to concentrate because I was sitting next to him. He continued to pick on people (read boys) who would sit next to me. He would ask me to meet him separately and then ask me what was wrong. He never let it go when I told him everything was fine. Later, he would tell my friends (when I was standing with them) that I act like I am scared of him and he has no idea why. He would also make indirect comments about me in class. Second year, we didn't have his class. But when I passed by him in the first week of second year and ducked to avoid meeting his gaze, he sent someone to call me to meet him. Ever since then I have tried really hard to avoid him. And after I refused to meet him, he has never called me. ",Humanities,Elite Institution,Male,Undergraduate Student,Undergraduate Student,180
