,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new,story_word_count,index
11,"* After my masters defense my advisor offered a celebration get together at his place. At the end of the party, my co-advisor (who got drunk) grabbed me and started to try to kiss me. I kept trying to push him away. He only stopped when my advisor interfered. At that point I thought the incident was my thought. I was wearing a dress. I was extremely embarrassed afterwards. It was 2010. Co-advisor never said a word after that. Never apologized. Rounds of manuscript review came with extra harsh comments that were not directed at improvement, but humiliation. 

**In grad school again for PhD, grad student fellow from the same lab and office space harassed me during my entire first semester. Everyone commented about how in love he was and how harsh I was on him. Once, he sat on my lap and put his arms at my shoulder. I remember  wanting to disappear while that happened. The entire situation made me extremely uncomfortable to the point I would avoid going to my office when I knew he was there. I remember repeatedly stating to colleagues I wanted nothing to do with lab mates in that regard and how inappropriate that situation was. The behavior ceased to give rise to rivarly. It caused me a major depression episode.  

***when I was a GTA, undergraduate student wrote me a letter with inappropriate content on the back of his exam.  I reportedly it to the university. They ""registered the offense"" but said it was my responsibility to communicate to him that his behavior was not appropriate. I also had to make sure I'd communicate it to him in a way that wouldn't cause him to withdraw from the course. I had to have that conversation with the student using the course supervisor (male) as a witness. Course supervisor offered a lot of support in the situation. Finishing the semester after that was dreadful. The same student kept enrolling in my course sections after the incident. I had to ask campus police to walk with me to my car several times. ",Graduate Student ,Graduate Student ,Co-advisor was a senior research  associate in a prestigious institution; second incident was from a grad student peer from my cohort. ,Male,Male,Ecology,Multiple,Graduate Student,Faculty,Natural sciences,352,
12,"Another graduate student sexually assaulted me. Some other graduate students (previously friends) called my story into question because both my rapist and I had histories of sexual trauma. They refused my requests to stop inviting him to gatherings and parties, and said I needed to get therapy instead. Another graduate student (a woman) wrote an anonymous note to my rapist's thesis advisor (a woman) saying that I'd been spreading rumors about my rapist. Neither of these women said anything to me directly about this (I found out through third parties), both of them identify as feminists and claim to support survivors. My rapist told me that he respected me as a writer, and asked me to please not write about him. ",Graduate student,Graduate Student,Graduate student,Male,Male,Creative Writing,Research Institute,Graduate Student,Graduate Student,Humanities,122,
13,"A colleague, on the first day of my job, showed me texts with another male colleague discussing me. In the conversation, they discussed my attractiveness, and discussed that X (colleague who was showing me his phone) should date me. In it, they acknowledge I am married and therefore ""off limits,"" but never that this is inappropriate. These interactions continued, and I felt unsure what to do because it was never a quid pro quo situation, but one that was clearly meant to make me feel uncomfortable. On the last day of that academic year, upon entering this colleague's group office, he asked, ""Why do you always wear shirts that make me look at your tits?"" I left in shock. The colleague apologized at the opening of the following school year.",first year tenure track professor,first year tenure track professor,second year tenure track professor,Man,Male,English,Other Type of School,Faculty,Faculty,Humanities,130,
14,"When I was a PhD candidate, I was invited back to a  hotel room during a party at a field station by a professor from another university who was planning collaborations with my adviser (and someone who for a brief period I thought might be a future post-doc adviser). I said no thank you, he persisted, and after the third effort to talk me into it despite stating repeatedly that I was happily married, I finally got up, said good night and left the party. I told my adviser about the incident the next day and expressed disinterest in working on any future collaborations. When we got back to the university, he required me to spend lab time on a collaborative project (that took time away from finishing my own work) with this person, despite what I had told him. I was not entirely surprised by this response, sadly, since my adviser also made multiple comments implying I was fat and should take up running during my time in his lab as well.",PhD candidate,Phd Candidate,Senior professor at another university (the person who made inappropriate overtures) and my adviser (the person who did not respect my wish to not work with this person after the incident),Male,Male,Biology,Research Institute,Graduate Student,Faculty,Natural sciences,174,
15,"in the early 1990s I was second year master's student at NYU. My girlfriend was an undergraduate senior at Yale. Both of us are people of color. At the time we were in the class of a professor who had some kind of dual appointment at both schools. This professor is a white male and he knew we were dating. Early in the semester, the professor began hanging out/drinking intensely with my girlfriend and another woman of color in their class. My girlfriend reported that after one such outing the professor insisted on walking her to her off campus apartment. At her door he began asking her to let him come inside, grabbing her and forcibly kissing her when she said no and attempting to open her jacket. She fought him off and he left. After this we both stopped attending his class. We discussed reporting him but my girlfriend wanted to move on. He either called or wrote to apologize and accepted a final paper from her without her further attendance. He did not reach out to me and as a result of the incident I stopped attending both my classes at NYU. I contacted him and my other professor asking for incompletes. The other professor granted me the incomplete, but he never replied and failed me. Confused how to navigate the incident and an F in a master's program I dropped out of graduate school and never returned. This eventually turned my incomplete into another F.",I was a second year master's student at NYU. My girlfriend was a senior at Yale.,I was a second year master's student at NYU. My girlfriend was a senior at Yale.,He was a professor with a dual appointment/fellowship at both schools,Male,Male,Cinema Studies,Multiple,Graduate Student,Faculty,Humanities,248,
16,"I was asking for a recommendation a few years after I had graduated. The professor asked me to come to his house to have lunch and talk about my plans, which we did. Then he asked me to take my shirt off, which I did because I needed the recommendation, as I had had a rocky time grade wise at my university. ",I was a recent graduate.,I Was A Recent Graduate.,He was a professor. He had works of art in major museums.,Male,Male,Art,Elite Institution,Graduate Student,Faculty,Humanities,63,
17,"When I was a prospective PhD student, a department flew out the admitted students to campus for a visit. I met with a senior faculty member in my field--someone whose work I admired greatly, who had been the person who called to offer me a spot in the program. We spoke for a bit about the department and my research, and then he abruptly began to tell me about a museum he thought I should visit while I was in town. He pulled their catalog down from a shelf, drew his chair close to me so that our knees were touching, and placed the book in my lap. Then he slowly leafed through it and showed me all the pictures of naked women. My research was not related to naked women. ",Prospective PhD student,Prospective Phd Student,Senior faculty member and potential advisor in a department to which I'd been admitted,Male,Male,English,Elite Institution,Graduate Student,Faculty,Humanities,132,
18,"I was groped at a conference, during an evening off-site event. 
(specifically, I was standing next to a food truck by the beach, which was across the road from the conference hotel in Gulfport.)

The harasser sidled up next to me as I talked to someone else and then tried to grab my butt and then my breasts. I faked a phone call to get away from him.  ","Graduate student, PhD ","Graduate Student, Phd ",Emeritus professor from another university,Male,Male,English,Multiple,Graduate Student,Faculty,Humanities,69,
19,"In my first year on the TT, I was sexually harassed and stalked by a graduate student. I had text and email evidence of the harassment as well as an admission of guilt. After the broken Title IX process allowed this student to reclaim an office a few doors down from mine, he continued to be in my space, ask others about making contact with me, and making contact through my close colleagues and students with me. I shared with my fellow faculty how disturbed and in fear for my safety I was. I carried mace and a tape recorder with me everywhere. This student has recently enlisted his faculty advisor in making claims of retribution as a way to secure additional funding or class placements he wants. This faculty member (a male) has publicly stated that this student is doing important work and that is what should matter. Another male faculty member told me that I should be more considerate of the first faculty member's feelings on this. When the administration suggested that the only resolution to keep me safe was to move my office, I took them up on this offer. Now male faculty are saying that I shouldn't be open about why I moved and that I am not doing enough to keep the issue quiet and restore peace. I have also been targeted by these male faculty during annual reappointment meetings where suggestions have been made that my record is not strong enough, despite it being equal to or better than that of other male faculty who are receiving praise. ",Pre-tenure Tenure Track,Pre-Tenure Tenure Track,Graduate student ,Male,Male,Political Science,Research Institute,Faculty,Graduate Student,Social sciences,265,
20,"One day after having a discussion about professional norms, including not to have sex with undergraduate students, a fellow graduate student asked me in our offices if I would ever consider it. I said no and tried to pack up to leave, but he was blocking the only exit. He asked me again. I said no. He asked me a variety of situations that all involved me and sex with an undergraduate student. I said never and that it was a clear issue of power dynamics. He then told me not to think of it as ""sex-sex"" but ""[my name]-type sex."" At this point, two other male graduate students were watch us interact and one noted that I had turned quite red. I fled the office when the three men started talking about when it was appropriate to have/not have sex with an undergraduate student. ",Graduate school,Graduate School,"Graduate student, fellow cohort member",Male,Male,Political Science,Research Institute,Graduate Student,Graduate Student,Social sciences,146,
21,"Department chair attempted to groom basically every new female faculty member, and some graduate students as potential new sexual partners. His wife was also in the department, and by all accounts, was aware of his attempted exploits. It would start with public touching, and accelerate from there with anyone who didn't aggressively rebuff his overtures.",Assistant Professor,Assistant Professor,Professor & Chair,Male,Male,Family & Human Development,Research Institute,Faculty,Chair/Dean/Head,Social sciences,55,
22,"I was a teaching assistant for a professor. He invited me out to talk about ""class business"" but would want to meet at a martini bar, and would spend the time pushing drinks on me and telling me things like ""surely you must have slept with your professors before"" and "" bet your professors hit on you all the time"". He also wanted to hug and kissed me goodbye on the cheek. After this happened a couple of times, I came up with excuses to not meet, and didn't apply to be his T.A. again.",PhD student,Phd Student,Non-tenure line professor; Instructor of record for the course I T.A.’d for.,Male,Male,English,Elite Institution,Graduate Student,Faculty,Humanities,95,
23,"Undergrad senior year, I was taking an independent study with a professor I trusted an admired. One day, he stopped me while I was in the middle of presenting a paper to comment on the length of my eye lashes, and occasionally, he would make comments on the clothes I was wearing. He also told me at one point that I was ""too pretty to be taken seriously."" I am fairly certain that he thought he was being helpful somehow by telling me this. ",Undergraduate,Undergraduate,Professor,Male,Male,Philosophy,Regional College,Undergraduate Student,Faculty,Humanities,86,
24,"An assistant professor hired by my department in 2007 very quickly made a name for himself by hitting on many young women -- graduate students and undergraduates.  He made me and several of my classmates very uncomfortable by asking us out repeatedly, even after he was told to back off.  He was even more lecherous around undergraduates, eventually ""dating"" several.  ",graduate student ,Graduate Student ,Assistant professor,Male,Male,Economics,Research Institute,Graduate Student,Faculty,Applied science,64,
25,"A senior faculty made advances on numerous students and some female faculty, including me. Usually, these incidents would entail excessive touching, and sometimes putting his hand below one's shirt or down one's pants in public (at parties or at a bar, usually drunk). The faculty member also kissed students on the mouth regularly. ",untenured faculty,Untenured Faculty,chair of the department,Male,Male,Humanities,Research Institute,Faculty,Chair/Dean/Head,Humanities,54,
26,"Male Chair made inappropriate sexual comments to undergrads and colleagues, ranging from talking about others' sex lives, commenting on faculty and student physiques, dirty jokes, inappropriate hugging, brushing up against student arms/elbows; was taken off of tenure line due to the above (after 3 Title IX reports); put back on tenure line pending good behavior two years later; granted tenure and promoted to full professor (without dept support for either); continued with bad behavior until several students reported to dept chair and then Title IX. He later ""resigned"" following investigation. ",started as visiting professor and now tenured associate professor and chair of dept,started as visiting professor and now tenured associate professor and chair of dept,"started as associate professor and chair (without tenure), demoted from tenure line, put back on tenure line, given tenure and full promotion",Male,Male,English,Regional College,Chair/Dean/Head,Chair/Dean/Head,Humanities,91,
27,"While doing my PhD studies a collegue used to enter my office and left messages with the word 'whore', he also used to call me that way around the working place and send me pictures of his genitals once. Also, he told many office colleges that we have sex, which was not true. When I explicitly told other people in the department I work about the situation he come to the office and told me to stop playing the victim. He stops for some months, but he eventually start doing it again before graduation. From this incident I was called ""feminazi"" by a professor.",I was a PhD student.,I Was A Phd Student.,PhD student,Male,Male,Statistics,Elite Institution,Graduate Student,Graduate Student,Formal sciences,104,
28,"My department chair continually harasses me almost every day and always tries to shift the blame to me rhetorically by calling me ""trouble"" and things of that nature. His wife also works in the department (and is also tenured), so there is no way this will end well for me (a graduate student). ",Graduate student,Graduate Student,Tenured Professor/Department Chair,Male,Male,English,Elite Institution,Graduate Student,Chair/Dean/Head,Humanities,54,
29,"I, out of long dyke-y habit and to protect against my forgetfulness, tend to wear my keys on a carabiner on a belt loop. One day, when we were talking in the hallway, an older male faculty member who was also my sponsor at the institution grabbed the keys at my waist and told me it was a weird thing to wear. I don't think this is a big comparative deal at all, and not really his place to comment on it, but why would he need to touch my hips during a conversation? ",Post-doctoral Research Fellow,Post-Doctoral Research Fellow,"Full time faculty, research mentor",Male,Male,History,Research Institute,Graduate Student,Faculty,Humanities,95,
30,"1. Professor had a romantic relationship with an undergrad student while married (with child/children). This put immense pressure on friends and classmates of the female student and created a dysfunctional power dynamic among students. A handful of women reported it to the administration and were questioned about the relationship. 

2. Professor remarked on tops and clothing of young, female undergrads during class constantly",Undergrad,Undergrad,Full Professor,Male,Male,Art;Art History,Regional College,Undergraduate Student,Faculty,Humanities,63,
31,"Harassed for over two hours by fellow graduate student one night while I was attempting to work. They were very drunk and at the office. They tried to force me to drive them to a strip club to help them evaluate the dancers one of whom the this person was ""dating"". When I finally gave up and tried to go home they followed me to my car and very nearly forced their way inside while I was trying to get away. ",graduate student,Graduate Student,a graduate student a few years ahead of me,Male,Male,Political Science,Research Institute,Graduate Student,Chair/Dean/Head,Social sciences,82,
32,"One professor repeatedly held my arm whenever I met with him as a graduate student, even though I tried moving away. Another professor proposed marriage to me three times (I am already married and told him that and he was persistent despite the fact that I only talked to him about academic matters). The second professor was quite old. I told myself he didn't know better because of his age and tried to laugh it off. He still tries to meet with me whenever he is in town. ",Graduate student,Graduate Student,(1) Tenured professor; (2) Visiting Emeritus Professor,Male,Male,English,Elite Institution,Graduate Student,Faculty,Humanities,89,
33,"I had heard of this teacher harassing or making leud and inappropriate comments to men and women alike. I always defended him as did many others at UT. However, there are documented allegations online which have been around for years! Then, after talking in his door way, this teacher, now my thesis advisor, pulled me toward him and kissed me on the mouth when departing a regular meeting. Never happened before or again after, and I always thought it was something I initiated until recently.",Grad (master’s) student,Grad (Master’S) Student,"Thesis advisor, tenured professor",Male,Male,Music,Elite Institution,Graduate Student,Faculty,Humanities,85,
34,"My professor in my MFA program who was known for getting drunk with  graduate students grabbed my butt at a party in an attempt to get me to dance with him or to sit next to him. He complimented my writing. I quickly shunned his advanced and left the party feeling ashamed, disgusted, and fearful of my fate in the program. 

He got wind of the incident and claimed to ""not remember it."" He called me into his office where I awkwardly accepted his apology, and continued to have to take classes with him for the rest of my program. ",First year Graduate student ,First Year Graduate Student ,Full professor ,Male,Male,Creative Writing,Research Institute,Graduate Student,Faculty,Humanities,102,
35,"I went to pick up my graded paper from my instructor. There was a sticky note on it , a message between my instructor and someone else. They were talking about my ""boobs"". My instructor wrote, ""she must wear a push-up bra, because they can't be that big"". I could tell it was him because it was the same writing as the feedback on my paper. I was mortified.",Second year of grad school,Second Year Of Grad School,Post doc,Male,Male,Education,Elite Institution,Graduate Student,Graduate Student,Applied science,69,
36,"Wore a half-apron on Halloween (lazy maid costume) over a knee-length black dress with sleeves down past my elbows and a collar that buttoned up all the way to my neck. Former department head walks in while I'm working the department front desk, asks ""So are you a regular maid or a dirty maid?"" Asks me to twirl around so he can see my dress a little better. On a separate occasion, had me look up pictures of Kate Moss in the Sports Illustrated swimsuit edition while I was on the clock. ","Undergraduate, student worker","Undergraduate, Student Worker","Tenured professor, former department chair",Male,Male,English,Regional College,Undergraduate Student,Chair/Dean/Head,Humanities,93,
37,"My MA advisor continuously made lewd comments and ""jokes"" both in class and during one-on-one meetings. There are too many to count, but they range from comments about my weight, offers to give me rides, explanations about how sex gets better when you're older, etc. Basically if there was any way he could fit sex and/or women's bodies into conversation or lectures, he did. I had already learned from previous experiences with sexual harassment that what he wanted was a shocked reaction from me. So I just always stared at him blankly and gave him zero reaction, and changed the conversation back to my work. Later I heard that other students eventually came forward with allegations of sexual harassment and now this professor cannot teach undergrads, but still teaches grad students and advises grad students, as far as I know. ",Graduate student,Graduate Student,Tenured Faculty; MA thesis advisor,Male,Male,Linguistics,Research Institute,Graduate Student,Faculty,Humanities,141,
38,"I took a temporary research technician position in a cell biology lab in 2012, fresh out of college. Shortly after being hired, the PI began sexualizing me; looking down my shirt when talking to me, not taking me seriously as a scientist, very obviously 'checking me out.' The senior-most research assistant told me that the boss had deliberately scheduled my interview for a day when the research asst wasn't there, as research asst had been warning off people (especially young women) from taking this job. I was then informed that he had a history of harassing undergrads and similar aged employees and was regaled with stories of his highly inappropriate behavior, including why they no longer had evening lab outings due to his inappropriateness. The boss continued to act inappropriately towards me as well as being abusive towards myself and other lab members so I avoided him as much as possible. His approach to science and grant-based research was also suspect at best. During a lunch time holiday outing, he played with my hair and told me I looked like a Disney princess. I was extremely concerned with looking like a 'job hopper' but finally left after 9 months and on my last day, he was nowhere to be found. I left with the research asst and then boss called research asst and proceeded to rant about ""how much he had done for that bitch, how dare she just leave without saying goodbye, etc."" while I was in the car. I know there were at least 3-4 other undergrads/techs that he had been inappropriate with and most of the senior most members of the lab were aware of how he was, as well as whoever was on his tenure committee. It was an open secret to a large degree and there was a 'whisper network' for new graduate students to not join his lab, but this didn't help technicians like myself who were underpaid and generally couldn't just transfer labs. ",Research Technician,Research Technician,Associate Professor/PI,Male,Male,Biology,Research Institute,Staff,Faculty,Natural sciences,331,
39,"At a conference party where there was a lot of alcohol and drinking, a professor from another institution began acting very friendly towards me. Eventually in front of a many other colleagues he put his arm around me, at first in a friendly way, and eventually slipped it down to my waist and then reached from my waist around towards the area of my crotch, basically grabbing my genital area. All this in front of many colleagues during a lovely discussion; I don't know if anyone noticed but no one said anything. I panicked, had to physically pull him away from me, and have since kept quiet about it except mentioning to some other grad students that this prof was drunk and a bit overly flirtatious with me at the event.",PhD student early in my degree,Phd Student Early In My Degree,"Young assistant professor at another university, frequent collaborator with my group. ",Male,Male,Computer Science,Elite Institution,Graduate Student,Faculty,Formal sciences,131,
40,"My perpetrator conducted many harmful acts. I will share two of the most impactful incidences. My professor once sent me a message with my photo, indicating that he had just finished pleasuring himself to it. He also once grabbed my wrist in an empty hallway, in an attempt to pull me into a bathroom. I quickly pulled my arm away and ran into my other department's office, where I cried asked another professor what I should do.","I was an undergraduate, applying to PhD programs. ","I was an undergraduate, applying to PhD programs. ",Visiting professor,Male,Male,Economics,Research Institute,Undergraduate Student,Faculty,Applied science,85,
41,"He was a visiting professor at my university who returned later to a neighboring institution. It was well-known that he hit on his students, especially the undergrads. I don't know how much these lopsided power relations were consensual but I have always felt uncomfortable that I remained silent. Only much later did I realize how widespread this kind of behavior was by him as well as by several other male faculty in the departments he visited (at both institutions). It's clear that his sexual come-ons to his students were part of a pattern of harassment that both departments/universities tolerated. Male students, even the lackluster ones, were mentored by him. Meanwhile, almost all the female students, especially the smartest ones, he tried (often successfully) to have sex with. This division of attentions permeated interactions well beyond his specific 'affairs' but he was not the only faculty member in those departments to abuse trust and practice inegalitarian treatment of their students.",I was a grad student taking classes from him.,I was a grad student taking classes from him.,He was my professor.,Male,Male,German,Elite Institution,Graduate Student,Faculty,Humanities,159,
42,"I was physically cornered by a student in an office with a closed door  in an attempt to intimidate me into modifying their grade in a way that was weirdly gendered and involved making comments that could be construed as sexual, which combined with the less than an inch between us, was very intimidating.
",Instructor,Instructor,undergraduate,Male,Male,Sociology,Research Institute,Faculty,Undergraduate Student,Social sciences,55,
43,"I was newly arrived at my field site and the director of the research institute I was affiliated with invited me to lunch, where we spoke about our shared research interests. I was pleased that such a senior scholar found my work interesting. Then he pushed me against a wall and forcibly kissed me, shattering the illusion that he cared about my scholarship at all.",PhD Candidate,Phd Candidate,Director of research institute at my field site,Male,Male,Anthropology,Research Institute,Graduate Student,Chair/Dean/Head,Social sciences,65,
44,"When I first started working, in faculty meetings whenever anyone said the word ""big"" or ""large"" a male colleague would cover his lap with a folder and say ""We don't want to talk about anything big now, do we?"" with this slimy smile on his face. The department was male-dominated and all the men would laugh when he did this. Later there were many more incidents - I had to deal with students who told me they had been sexually assaulted, sexual jokes in faculty meetings, etc etc. This all happened along with male faculty members constantly dismissing my ideas, ignoring me, laughing at me, and generally being patronizing. ",tenure-track and later tenured faculty,tenure-track and later tenured faculty,tenured faculty ,Man,Male,Fine Arts,Regional College,Faculty,Faculty,Humanities,110,
45,"about 6 months ago, a cis-man who was my mentor in my undergraduate degree explicitly hit on me via Facebook messenger. I'm now a Ph.D. student at the school he attended. We share similar speech/debate/academic circles. He was my mentor -- he wrote me a glowing letter of recommendation to two of my universities. He's married and I have discouraged him from these types of highly charged messages. I have sought to redirect his amorous attention back to his marriage. I would like to preserve this mentorship/friendship, and have tried to be empathetic to circumstances which might be leading him to seek out sexual fulfillment in me. However, this has really damaged my view of him and has negatively impacted me. I've started to wonder if I he wrote my letters of recommendation because he was sexually attracted to me and does this mean I'm not fit for academic work? 

Another incident mirrored this when I was a student on a competitive speech team at the same age when I was my mentor's student. I received explicit messages from my married coach about how ""sexy"" and ""pretty"" and ""hot"" I was. ""What would you think of me doing X to your body"". The speech season had just ended and I was graduating -- I think he thought he was in the clear because he wasn't my coach anymore?","First person, happened recently. I am now a Ph.D. student -- technically he is my peer/colleague. 

Second person happened when I was an undergraduate student.","First person, happened recently. I am now a Ph.D. student -- technically he is my peer/colleague. 

Second person happened when I was an undergraduate student.",First person was my professor/mentor. The second person was my coach. ,Male,Male,Communicaiton,Multiple,Graduate Student,Staff,Social sciences,228,
46,A linguistics professor and language instructor I was studying with groped and forcefully kissed me in his office. When I rejected his advances he continued to pressure me and eventually said it would be impossible for him to continue teaching me or having any professional relationship with him if I wouldn't have an affair with him. Even after I stopped studying with him he sent me numerous sexually suggestive text messages until I blocked his number. ,PhD candidate,Phd Candidate,Associate Professor,Male,Male,History,Research Institute,Graduate Student,Faculty,Humanities,77,
47,As a junior faculty member I asked a senior colleague to read my book proposal. He suggested we discuss it at a bar and proceeded to work through  14 drinks as we discussed it (I started counting when it was getting crazy). He tried to kiss me at the end of the evening. Turns out most other colleagues knew about his drinking problem but I was too new to the institution to have known.,"Second,-year assistant professor","Second,-year assistant professor",Tenured member of my department,Male,Male,French,Research Institute,Faculty,Faculty,Humanities,75,
48,"When I was an Assistant Professor, my Department Head was frequently just too close physically.  Then he started winking at me during faculty meetings.  It was humiliating.  He would just put his hand on my shoulder in the hallway or something.  It was nothing that would be seen as extreme but it really effected me.",I was an Assistant Professor.,I Was An Assistant Professor.,Department Head,Male,Male,Plant Biology,Research Institute,Faculty,Chair/Dean/Head,Natural sciences,59,
49,"At a conference when applying to Ph.D. Programs I met my first choice mentor. He invited me and my research assistant friends to dinner, and after asked if I minded dropping off his laptop at his hotel before meeting up with others at a bar. We were talking about my research interests and I didn't want to cut short the conversation, and agreed. In the hotel he touched my leg, tried to kiss me repeatedly, and even laid on top of me while encouraging me to reciprocate. I was stunned and wanted to get away without leaving a negative impression. He had/has a lot of status in the field and was worried about upsetting him. I eventually left at 2am, ashamed of not being braver. He emailed me repeatedly after that, as if we had a romantic connection. When I declined the spot in his lab he was clearly emotional and upset. Going elsewhere was a great decision. I still dread running into him at conferences. ",PhD applicant,Phd Applicant,Tenured professor,Male,Male,Psychology,Research Institute,Graduate Student,Faculty,Social sciences,167,
