,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
10,"I had set up a meeting with a professor to discuss doing a summer research project with him. During the meeting, he asked me inappropriate questions: whether I had a boyfriend, was he was my ""first love"", things like that. I remember feeling so uncomfortable. I don't remember him talking about his research at all. After the meeting, I told some friends, and I learned that there were all sorts of rumors about this professor and inappropriate relationships with female undergraduates.",Natural sciences,Elite Institution,Male,others,Graduate Student,81
11,"Was working late on a grant and a faculty member offered to buy me dinner, we had a friendly rapport so I saw it as a nice gesture. Afterwards he kissed me and asked me to undress. I immediately left, didn't finish my work, and avoided being alone with him under any circumstances,",Applied science,Elite Institution,Other,Staff,Faculty,53
12,"At the American Sociological Association annual meeting, maybe 6-7 years ago, met a full professor just left one institution in middle America for Virginia Tech, he spoke with me, then noticed a young woman who was an undergraduate was hanging out with him from his institution. I knew some of his former graduate students and they said that he had left his first wife for a graduate student and that he consistently had inappropriate contact with female students. As the night progressed, the undergraduate got drunker and drunker. Then in the early morning, she got text from this professor asking her to come to his hotel room, while he was/is married with his 2nd wife who was a student of his. She showed us the texts on her phone. The former graduate student of this man urged her not to go to his room. The undergraduate left. Fast forward a few more years, saw this same professor, who became chair of the department, again in a professional setting. Spoke with me, then after this encounter would regularly try to chat with me through DM of social media site. ", Social sciences,Research Institute,Male,Graduate Student,Undergraduate Student,189
13,"2007, my academic advisor, in a closed door meeting, sat on the edge of his desk, invaded my personal space, and grabbed my ankle. He then said I was very pretty and asked if I wanted to take off my clothes. I refused and told him he was making me uncomfortable. He shrugged and tried to kiss me and when I pulled away, he laughed and sat back in his chair. He then started to justify he proposition saying he’s done things with students in the past and when I expressed disappointment for disrespecting his marriage and my relationship status he said that he and his wife have an understanding. I repeated that I wasn’t interested and left his office. He later sent me apologetic emails which I deleted, feeling ashamed and confused. I obsessed about whether I had lead him on or talked about inappropriate things that made him think I was receptive. I told a friend, who told me I was over reacting. I constantly wondered if the A I had received in his class was due to the fact that he wanted to sleep with me and not my developing skill in the subject. Aware of his tenured status in the department, I decided the following semester to change my major and never took another class in his department. Of note, two years later, that same friend who dismissed my concerns, was propositioned by the same professor and finally validated my experience. She and another student who had had similar experiences (being cornered and asked for sexual activity by this professor) went to a female professor in the department and with her guidance, the three of us reported our experiences to the Dean of the college. We were made to recount the experiences and told that they would take it from there. If any institutional action was taken, it was unknown to us and the professor is still teaching and probably still harassing his vulnerable female students.",Applied science,Elite Institution,Male,Undergraduate Student,Faculty,330
14,"I was up for a partner hire. I met with a male full professor in the department I wanted to be in; he asked me about the progress of the negotiations. I said that right then it looked like I would be split between several departments. He said, ""I hope we get a thigh.""",Humanities,Research Institute,Male,Faculty,Faculty,54
15,"Senior professor has a long history of harassing female graduate students and post-docs in his lab and beyond (inappropriate comments about appearance, inappropriate physical contact, invitations to step into his conference hotel room after a long night of drinking at conference, professional promises are made for 'special' attention, inappropriate text messaging...} [the rest redacted]",Applied science,Elite Institution,Other,Graduate Student,Graduate Student,54
16,"My advising professor asked me to sleep with him, and when I said no, he quietly retreated from his adviser roll. I had no backup as he was the last of the discipline in the department. His behavior was well known: he had an open string of girlfriends drawn from the graduate pool over the years. He had one when he hit on me. Presumably she was wowed by trips to France and fine wine. But his contempt for women was obvious. By that time he was in his 60s.
I took my qualifying exams and left the institution to scratch out a study site on my own to complete my dissertation. I fought hard - without meaningful letters of recommendation - for a career in academia. Even still, 20 years later, I do not have a network of invested academics 'who raised me'. 
The response of the institution - a female chair at the time- was cliche. ""Oh that's just how he is and we can't legislate love"".  LOVE?? 
It easily set my career back 10 years, but I guess, after having read so many stories of women ""hounded out"" (excellent terms, btw), I should consider myself ""one of the lucky ones"".
At that time in the late 80s and early 90s, several women were harassed in the short time I was there. The climate at the time gave both senior and junior male profs approval for selecting partners from the grad pool with impunity. ", Social sciences,Research Institute,Male,Graduate Student,Graduate Student,246
17,"After I passed my comprehensive exams, my PhD advisor sent me an electronic gift with a sexually suggestive title. I tried to ignore it, hoping it was a misunderstanding, but after a couple of days he inquired if I got his gift. I wrote back telling him that I did not accept it because it was disturbing and inappropriate, and asked him to drop the topic so that we can continue with a strictly professional relationship. He replied with a story detailing his feelings, telling me how smart I was,  and that he thought it was mutual ""because [I] was seeking [his] advice."" Luckily, all this was by email, since he was abroad at the time, and by the time he came back I was going abroad for a research.",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,131
18,"After choosing to do an honors thesis on how college students understand consent, my thesis advisor said he had to ""introduce"" me to the field of sex research by telling me stories about how his own advisor had breastfed her child in front of him, and how he had to prove he could talk to her about his research while her bare breast was exposed, and that I needed to learn to be similarly comfortable. He described a time he performed oral sex on his sleeping partner, who awoke during the incident and was so upset she locked herself in the bathroom. Once, when I wore an outfit (shorts with tights under them) that exposed the tattoo on my thigh, he reached out and touched it while remarking, ""you know, based on my research, women with large tattoos like this generally have a lot of sexual partners"" and continued to make comments about my tattoos, piercings, and sexuality while I was alone with him in his office. He the invited me to get Chinese food with him, which I declined. My thesis was already overdue and he had already caused me significant delays, and my admission to graduate school was dependent on me turning in my thesis, so I completed the work as quickly as possible so I could submit the thesis and never see him again. ", Social sciences,Research Institute,Male,Graduate Student,Faculty,228
19,"My direct supervisor's wife was having a garage sale and I dropped off clothes that I didn't want any more.  Apparently a bra was in this pile.  My direct supervisor sent me an email that he wanted to talk with me about my donation.  Not realizing his frame of mind, I went to his office where he proceeded to talk about what he had imagined with this bra.  When I spoke of it with colleagues, several of them reported even more flagrant harassment situations with him (chasing them around the conference table, explicit suggestive remarks). ",Humanities,Research Institute,Male,Chair/Dean/Head,Graduate Student,100
20,"I was an undergrad at a community college and I had a meeting with my English professor to talk about a paper. After giving me feedback, once comment including I should use more of my own voice, he ""playfully"" said to get out of here before he would have to spank me, as he held the paper up over his head about to perform the action. I nervously laughed and left. I was 19. ",Humanities,Research Institute,Male,Undergraduate Student,Faculty,75
21,"A professor made sexual comments all through a graduate course.  He talked facetiously about asking sex workers how much different sex acts cost. He would make comments about kissing us. They were non sequiturs in the middle of lecture.  He leaned toward a student and acted like he was going to kiss her and kept talking about it, in the same tone of voice as a mom pretending a spoonful of mashed squash is an airplane. He did this all the course.
Most of the professors in our faculty are sleeping w/ students. Supervisors are sleeping w/ students they supervise. More are than aren't. One professor went to a different college b/c he was sleeping with undergraduate students here. He is the only guy who even got in trouble but he was just sent away. No one cares. Everyone is to afraid to say anything b/c it will ruin your career and also who would we tell. There isn't a place to tell. It's wrong but none of the established faculty think that it is wrong and everybody is doing it.
", Social sciences,Other Type of School,Male,Graduate Student,Faculty,182
22,"I was ABD doing research at a small archive which had given me a fellowship.  Part of the fellowship included free residence on site adjacent to the archive.  The archive and residence were in rural Pennsylvania, and at the time I was in residence only I and the live-in academic director of the archive, a more senior male ABD from another institution, were living on site.  One other full time staff person was on site during the day but I was told not to bother her.  The male director started off nice enough, but over the course of my month long fellowship, started to make comments about my weight, my appearance, and the appearance of the female high school student who worked a few days a week. Comments escalated to things about how lucky or whipped my male partner must be to put up with me, and when another male fellow arrived who was polite and friendly, comments about how we must be having an affair.  The man making the comments was the person administering my fellowship, and the residence was isolated in a rural area without doors that locked, so I decided to leave early.  I explained the situation to my dissertation director, who was supportive once he found out the details, but advised against reporting to the archive's board of trustees because it would either do nothing or prevent me from getting future funding.  While the man who harassed me was still at the archive, I told all the women intending to work there about what happened to me, and most experienced similar.  He has since left the position.",Humanities,Research Institute,Male,Graduate Student,Graduate Student,279
23,"Did not directly happen to me but to people around me. Lab head regarded male students as future colleagues, female students as sexual object. So no matter the merits, the men were treated to behaviors that would foster their professional careers, while women were objects of use or scorn. Said lab head was banging a student he also supervised. ", Social sciences,Research Institute,Male,Graduate Student,Chair/Dean/Head,60
24,"Long-standing history of predatory behaviour by male TAs (mostly Master's students) toward fellow MA students and undergraduate students in their classes. This behaviour likely based on their ""superiority"", playing on insecurities of junior colleagues and students.
TAs dated undergraduate students in their seminars. Professors were informed and there were no consequences. Brock University is a toxic work environment with unhappy scholars who behave poorly and get no reprimand. ",Humanities,Research Institute,Other,Graduate Student,Faculty,68
25,"The teaching assistant in charge of the Intro to Modernism class at CU Boulder’s English department would stand in front of me in class, say my name, and then say “You should see me naked.”  He would also mention he was married and his wife was pregnant, so he would run 10 miles a day to stay in shape. Then he would make suggestive comments about my appearance or body in front of other students in class and then tie these to whatever text we were reading. This was 1990. The semester after I took that class with him, there was a fire drill in the English department building and he came up to me while I was outside with my classmates and started groping me and kissing my neck. I was stunned. My peers asked if he was my boyfriend—I told them he was my TA from the previous semester.",Humanities,Research Institute,Male,others,Graduate Student,152
26,"In the fall of 2001, I was working in my first few months of my first professional job in a private housing company at a university in south Texas. The assistant director of housing began sexually harassing other females and myself. He was not our direct supervisor, though he was above us in rank. The harassment would vary from comments - comments made to me included that we should be married, as we acted like an old married couple - to unwanted touching. At one point, he would randomly hug us. My coworker was making copies, and he came up from behind her and wrapped his arms around her. 

My coworkers and I approached the associate director, our direct supervisor, who then approached the director of housing and our regional manager, each of whom were male. While the associate director advocated for strict action in the situation, the director and regional manager just told him to stay away from us. 

Unfortunately, the associate director took a position at another university in town, and after he left, we were forced to report directly to the assistant director. My peer, the one who had been hugged at the copy machine, also left, which left myself and our student employees. He began micromanaging my work, checking upon my whereabouts constantly and questioning my tasks. The situation took a toll on me, and when my previous supervisor offered me a position in his department, I immediately took the position and left.",Natural sciences,Research Institute,Male,Undergraduate Student,Chair/Dean/Head,247
27,"A colleague, on the first day of my job, showed me texts with another male colleague discussing me. In the conversation, they discussed my attractiveness, and discussed that X (colleague who was showing me his phone) should date me. In it, they acknowledge I am married and therefore ""off limits,"" but never that this is inappropriate. These interactions continued, and I felt unsure what to do because it was never a quid pro quo situation, but one that was clearly meant to make me feel uncomfortable. On the last day of that academic year, upon entering this colleague's group office, he asked, ""Why do you always wear shirts that make me look at your tits?"" I left in shock. The colleague apologized at the opening of the following school year.",Humanities,Other Type of School,Other,Undergraduate Student,Faculty,130
28,"While I was a graduate student, I met a tenure-track professor at the AAAs whose work I liked and who had been recommended to me as someone to connect with. We spoke initially at a panel (he offered to read my dissertation draft and suggested we collaborate on some work) and then later continued the conversation at a drinks party for our AAA section. He and another male tenure-track professor in our field bought me multiple drinks, and he told me he was separated from his wife and they were getting a divorce. We left together and everything that happened was consensual, but six months later I received an e-mail from his wife (still married, not separated, not divorced) telling me that she knew all about our ""highly inappropriate relationship"" and that I should never contact him again. She contacted me as well through Facebook, and continued to message me. I don't know how she found out or got my contact information, but I never responded because I was so mortified and had no idea what to say, and didn't want to add fuel to the fire.", Social sciences,Research Institute,Other,Graduate Student,Faculty,187
29,"Forcefully kissed and groped twice. Once in front of several others in my own and related fields. One person tried to help me get away in the moment, while others ignored the situation or egged him on. Later cornered by the same individual in private and again forcefully groped and pressured to engage in sexual acts. ",Formal sciences,Multiple,Male,Graduate Student,Graduate Student,57
30,"I was sexually assaulted by another grad student. He engineered a situation in which the rest of us drank excessively while he only appeared to do the same. I started to regain consciousness while he was groping me. When I refused to keep quiet about what he had done, he portrayed it all as consensual. Mutual ""friends,"" both male and female, spread rumors about me, portraying me as unstable or alleging that I had pursued him. Some of these people lied about events when the university conducted their investigation. Following the investigation, I was black-balled by other grad students. At least one student continued to repeat the story of how I had ""wronged"" her friend four years after the assault, spreading her allegations to people completely unconnected to the situation. ",Humanities,Research Institute,Male,Graduate Student,Graduate Student,131
31,"A senior professor in my research area frequently commented on my body, dress, fitness level, etc. He would corner me at department social events, making me feel humiliated and trapped. He would also ""mistakenly"" touch me inappropriately (graze my breast when reaching out to touch my shoulder, sneak up behind me in the kitchenette and reach for the fridge, placing his hand over mine, which was already on the door, etc.)",Formal sciences,Elite Institution,Male,Graduate Student,Faculty,71
32,"On my very first day as a Teaching Fellow, an older male faculty member told me that the best piece of advice he could give me is to always erase the chalkboard up and down, rather than side to side-- that way ""my ass won't shake."" Similar comments have continued ever since. Now at adjunct status, I feel relatively powerless and generally just grin and bear it. ",Humanities,Regional College,Male,Faculty,others,68
33,A professor took a staff member out to dinner to proposition her in the guise of offering her a new job. He continued to harass her and other colleagues of mine. The moment I took my job I was warned about him and other male professors like him were pointed out to me. ,Applied science,Elite Institution,Male,Staff,Graduate Student,54
34,"At a social event following a national conference, a tenured professor insisted that I kiss him. He was married, but insisted that it was fine, and, when I refused, he said that ""his girlfriend says he's the best kisser"" and that I would be ""missing out."" He waited for me outside the women's restroom, making it so I couldn't walk out without him noticing. I ended up slipping away into a group of strangers who, after I explained the situation, offered to ""hide me"" from the man in question.",Humanities,Research Institute,Male,Graduate Student,Chair/Dean/Head,89
35,"I was good friends and then briefly dated someone in my field. During that short period, he made a lot of inappropriate comments about the appearance and bodies of other women in our field that he found attractive. He also would often describe women in more benign, but still sexist ways—he was particularly fond of calling women ""intense"" in a disapproving way. (He has crafted much of his reputation on being a ""chill,"" fun person.) I've also witnessed him use his stature to intimidate women in social situations, as well as speak directly over them in professional settings.",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,98
36,"1989. The professor, who was directing my senior thesis, called me into his office and told me stories of his friends sexual exploits, told me I was “pure” and “sensitive,” showed up at my apartment with a case of beer, reminded me that he was grading my senior thesis, workshopped my story when I wasn’t present in workshop, told me that when he arrived he received a “list” of students to pay attention to and that I was on this list, had a poster for Playboy’s fiction contest on his door and pointed to it suggestively and said, “You should submit.” A lot of other flirtatious passive-aggressive stuff happened that I no longer remember. He was very confident in his “mentoring” of me.",Humanities,Research Institute,Male,Graduate Student,Faculty,123
37,"I heard from male peers about a certain celebrated male professor who only bonded with students over a smoke and drugs in the late evenings. While he did not make advances towards me or anyone I knew, we knew as women that we would never be included in the inner circle of the department, where opportunities for grants, co-authorship of papers etc, available teaching positions were discussed and given out because we were not deemed attractive or flirtatious enough to be included. It was an almost exclusively male circle, and the only women who were included by this prof and his junior male colleagues were either their partners or soon became their partners. Most of them did not go on to pursue serious academic work. ",Humanities,Research Institute,Male,Graduate Student,Faculty,126
38,"A professor requested my friendship on Facebook when I was in his class. He also requested the friendship of another young woman in the class and nobody else. He posted on our walls suggestively. He showed up at her work when she was bartending a propositioned her for sex. He told me he no longer has sex with his wife. He texted her his room number at a conference. I told my ""feminist professor"" about this and she just told him about it and he made fun of me for complaining. ",Humanities,Research Institute,Male,Graduate Student,Faculty,92
39,"I was a graduate student and in an elevator with a male tenured professor in my department, who advised one of my comprehensive exams. When the elevator doors closed, the male professor slowly looked my body up and down. Then he did it a second time. He wasn't even trying to hide what he was doing. He told me I looked nice and asked me why I was so dressed up today. I managed to squeak out an answer (something about how I was teaching that day), and then fled the elevator as soon as the doors opened. This faculty member very publicly leers at other women graduate students in my program (even when he's teaching us in the classroom), and he has a history of other inappropriate behaviors toward women students.",Humanities,Research Institute,Male,Graduate Student,Faculty,132
40,"I went to see my professor about a paper I was working on.  He had already commented a few times in class and in the hallways about my ""big, blue eyes"". 
 In his office, with the door closed told asked me if I was scared (be cause my eyes were so big).  I said, ""No."" I didn't know what else to do.  Then he told me he liked my ring and w/out consent took my hand and admired my ring for a good long while, while I waited silently for him to give me back my hand.  A few minutes later after I attempted to return the conversation to my paper,   he again commented on my ring and said, ""It's a shame you bit your nails.  You could have very beautiful hands.|",Humanities,Other Type of School,Male,Graduate Student,Faculty,140
41,"I was glad I passed my thesis defense. But that was not the end. I was told to revise the thesis drastically to meet his unrealistically high expectation. After satisfying all committee members' request, I was held hostage working to improve my thesis, and delayed my graduation, my chance to get my work visa on time, and missed a job opportunity.

A year later, I published an extension of my thesis work with my then collaborators, without my advisor as a co-author. He didn't like the idea of this extended work when I presented it to him while I was his student. After knowing about this published work, he sent an accusation email to the editor-in-chief of that journal and IEEE's person who oversees academic misconduct, and accused me of plagiarism. The editors dismissed the accusation after their investigation. But this was not the end. He said he will keep investigating. 

I'm now working in a university. It took me 4 years to overcome the fear and self-doubt. I never asked him for recommendation letters, and never told him where I went. But he still follows me, finding my new email address and sent me emails, asking me to work for him. At one point I told him to stop contacting me. He then used one of my friend (who was also his student) to send me messages. 

I wasn't his only victim. He got suspended twice by the university due to various reasons. However, he manipulated some of his students. One of them sent us this:

""Dear All,

As you remember, Dr. X was suspended last year, and I sent a request to you all for your support to Dr. X... 

After that suspension was due, the university started an investigation, which was completed in August this year.  Unfortunately, Dr. X has been suspended again still without any pay or permission given to contact his students since August this year. They accused Dr. X of mistreating, bullying, or harassing students, which is untrue. 
......
At this moment, we also still need your support. Would you please update your letter you wrote last year, sign it and then send the scanned copy to me?""

I hope my case can give the community some encouragement that not all harassment cases are silent. The investigation was conducted by the university. They did something in hope for a change. I hope more schools and departments can stand up for the students who are vulnerable, and in most cases chose to be silent. ",Applied science,Research Institute,Male,Graduate Student,Faculty,416
42,"Staff at research center said my lipstick was sexual. Then something about my using lipstick was me showing my vagina or wanting to show my vagina. I just felt deeply uncomfortable and more black pants, black shirt an no make up and left hair messy to not be talked too. Dean of my head school college frequently referred to grad students as sweet girls.",Humanities,Research Institute,Male,Graduate Student,Staff,64
43,"I was harassed and cyberstalked by a Professor who became fixated on me. My career was in its fledgling stages and he would google me to find my work on the internet and come to my office to ask deeply personal questions about it. He began emailing me and frequently messaging me using an internal messaging app, which he set to ""private"" so the messages were not recorded. Often he say things such as ""I need to talk to you. Can you come to my office?"" which I would ignore, prompting him to turn up at my office which I shared with my supervisor (female) who was bullying me. At a Christmas party he had some drinks and approached me, saying that he knew I was uncomfortable with his fascination with me, but that he was married and it ""wasn't sexual"". He took a photo of me at the party that night and told me sent it to a friend of his to ""show"" him the kind of young women he worked with. After the party, the harassment escalated, with emails, messages, phone calls and (when these were ignored) aggressive visits to my office.  ",Applied science,Elite Institution,Other,Staff,Faculty,196
44,"A grad student tried to rape another grad student in a hotel during a conference. He disregarded the fact that she already had a partner when he was coming on to her as well as the fact that she is queer and had no interest in him for multiple reasons. The department took no action against this student. He went on to win an award and get a tenure-track job. One of the most disturbing parts is that his research is about doing ethnographic research on incarcerated juvenile girls, so who knows what kinds of disturbing access he has to this vulnerable population and what types of things he may have tried to do. Also, the chair of the department was female yet was complicit in allowing his attempted rape to go completely unchecked. Meanwhile, the woman he tried to rape suffered severe mental health repercussions.", Social sciences,Research Institute,Male,Graduate Student,Graduate Student,146
45,"As a first-year grad student, I and another female cohort member were attending a sponsored party at the field's annual meeting. One of our professors introduced us to his PhD advisor, a preeminent scholar from another institution. The advisor immediately congratulated our professor for having arrived at the party with two gorgeous women, and insinuated that our professor should consider ""sharing"" us with him. ", Social sciences,Research Institute,Male,Graduate Student,Faculty,65
46,"When I was a doctoral candidate (1985-95), I held several part-time teaching jobs at various colleges and universities. One of my first ones was in a small art history department at a well-known art school. An older male (full-time) faculty member was very friendly. He was European, single and it was initially unclear to me how to interpret his somewhat excessive attention. All of the department faculty—part-time and full—shared a room dominated by his desk and the adjacent desk of the woman who chaired the department. One day I was seated nearby, preparing for my class. The chair was busy on a phone call and the male prof suddenly asked me why in African sculpture male genitals were so “exaggerated.” Annoyed by the question, I was a silent for a second. The real answer I knew was that in African art male and female genitalia symbolize human and agricultural fertility. But doubting his interest was strictly intellectual, I decided to shut down the discussion by deadpanning, “Oh, they’re not exaggerated.” I saw an amused grin on the woman chair’s face. The male prof didn’t bother me with any impertinent questions again.",Humanities,Other Type of School,Male,Faculty,Faculty,191
47,"After my leave of absence I approached a professor and asked him if I could pass his final exam by submitting an essay to a booklet that other people from the course were putting together. That booklet was in fact their final. To what he replied, with other people present, ""How about you dance naked on a table for me?"" After  a pause, he added ""You'll have to come and answer questions no essays possible for you."" On the day of the exam, he was talking for an hour and a half and told me about a movie that had a blow job reference in it. That happened on a Saturday evening when everyone had already left. I was scared but didn't show it. In the end, he gave me a good grade and I left. ",Humanities,Other Type of School,Male,Undergraduate Student,Faculty,138
48,"The Dean greeted me at a faculty meeting by kissing me on my neck.  He was aiming for my face but I flinched.  About a week later I met with him and told him that this had made me very uncomfortable. I asked him not to touch me again.  He apologized, but it was clear that he did not think he had crossed any boundaries.",Humanities,Other Type of School,Male,Faculty,Chair/Dean/Head,68
49,"Undergraduate at Florida State in General Education courses. Western History & Civilization professor would stop lectures and compliment my outfits, no matter how modestly I dressed. When the other students would audibly groan or make other comments, I would put my hand over my face and sink into my seat. Every time I did that, he would loudly announce ""Oh, c'mon, it's not like I'm trying to DATE YOU or anything!"" I had an A in the class, but he would pull me aside after class to demand I meet him in his office to 'discuss' my grades. I agreed once and brought another female student with me, which angered him. He began making negative comments to me in class, so I withdrew close to the last withdrawal date. Back then, before internet, in order to withdraw you had to take a form from the registrar and obtain your professor's signature. I approached him at the end of another class he was teaching, handing him a textbook and the form on top to sign. He scowled at me, and when he finished signing THREW the book, form, and pen at me.

Around the same time, my theatre professor kept trying to get me to go to his community theatre productions for ""extra credit,"" but they always included a stop at a bar afterwards. I went once and called a friend to come get me, and he drunkenly cornered me and tried to get me to stay (saying he had a wife, and she wouldn't mind). I declined, and never went again. About a week later, I was standing at a streetcorner waiting for the light to change, and a man began catcalling me from his car. It was the same theatre professor, telling me what he wanted to do to my ""hot little tits"" and my ass. I don't think he recognized me, but he got the nickname *** ""Catcall"" *** until I left Tallahassee. I tried to make myself as invisible as possible until the end of the semester. In 2016, he began posting in the Florida ""Indivisible"" Facebook group; I immediately recognized him 25 years later. He has public posts objectifying women who strip for a living, among others, and I reported him to (with my story) to the admins.",Applied science,Research Institute,Male,Graduate Student,Faculty,381
