,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
11,"During academic fieldwork, my co-collaborator (a senior male, and also my former dissertation advisor) had invited a senior French archaeologist who was his close friend to join us in the field. Based on prior experience I knew the two of them would act somewhat badly, so I warned my younger female students that there might be off color jokes etc. The senior French archaeologist acted badly beyond anything I could have anticipated. Not only were there stupid and childish homophobic jokes and generally stupid male banter between the two senior males, but the French archaeologist also proceeded to talk in a disgusting and sexist manner about the local indigenous women in Church who we had seen on the weekend, discussing their body parts and how he would like to have sex with them (in a much more vulgar manner). All of this was in front of three younger female field assistants who came to me later in a panic- they had never experienced this sort of behavior before (being sexually harassed), one put it this way- that she had never felt so uncomfortable but at the same time that she had no power to say anything to ask the behavior to stop. I decided I had to confront my co-PI and tell him that this French researcher would no longer be invited into the field to work with me as he was sexually harassing the female students. My co-Pi (remember this is my former dissertation chair) blamed the whole incident on me- I was told that yes, this French archaeologist was a sexist but that I just had to deal with it, and moreover, I had been ""pushing his buttons"" so whatever had happened was my fault. Never have I felt so unsupported by a male colleague in my entire life. ",Natural sciences,Multiple,Male,Faculty,Chair/Dean/Head,302
12,"I was a grad student taking classes at a biological field station in 2014. Two female students were assaulted by the same individual that summer. One was reported to the station Director immediately, the other was not reported until the following year. Rather than acting as a mandatory reporter, the response of the station Director to the delayed report was to contact multiple other students that were on site at the time to inquire if they remember if the interaction was consensual or not. ",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,85
13,"A famous poet and infamous creep, died in 2002 with a perfect literary reputation. Overtly sexist and inappropriate in class, trading on grades and the annual literary awards (of which he was sole judge), obsessive and stalking behavior. Had male acolytes for whom he was ""like a father"" who served to protect and clean up his messes for him.",Humanities,Elite Institution,Male,Graduate Student,Faculty,59
14,"October 2006 I had to attend a course on teaching before I could teach (as a grad student), so there were other PhD students from all departments. We were put into small groups to make it easier to interact and work on whatever assignments we had. A man sat beside me and we had to introduce ourselves and write down a question to find out more about them. This individual wrote down that he just wanted to be with me. I laughed it off because I thought I would never see this guy again. Sadly, he became a physical and virtual stalker to the point that he was following me places. I used to like to work late at the university (the grad building) and he had overheard me telling someone I was going to be there late. I drove by the place at 11pm and he was standing outside the door (you needed a pass to get in). I kept driving. He stalked me to the point where I was scared for my safety. He would send me numerous message (several an hour late at night --- and I stopped responding to them). He also met with my supervisor to find out more about me. My supervisor didn't know at the time that this guy had begun to be obsessive, so naively he gave him information about me (he was under the impression that I knew this stalker and that we were friends). The stalker would send me messages saying that my supervisor wanted me to meet with him (among other things) and when I stopped responding, his emails got more and more threatening and hostile. I told my supervisor who agreed that there was something wrong, so he met with the guy. The guy continued to put things (notes, presents, etc.) in my department mailbox, email me and stalk me. I finally went to the police and they gave me tips on how to stay safe (never walk alone, let others know where you are, don't reply to the guy, etc.) and told me to wipe my online profile, so I did. This started in 2006, and to this day, this guy still emails me (I do not respond) and follows me on academia. ",Humanities,Elite Institution,Other,Graduate Student,Graduate Student,377
15,"In 2010, my TA supervisor regularly used inappropriate language when addressing me, calling me cutie and other pet names, signing emails ""XO"". He always wanted to have meetings at his house. He made a lot of really dirty jokes that were not at all related to the course (obviously). In fact he didn't actually teach much so I tried to pick up the slack for the sake of the students. My colleague was his student and he would always walk behind her (to watch) and I started to notice he would walk behind me as well. He treated his female undergrad students in the class more favorably than the males. I didn't do much about it, I just wanted to get through it and move on. I wrote an email to him detailing what was inappropriate and unwelcome and he tried to laugh it off and chalk it up to cultural differences. Years later he still invites me on trips even though I've never said yes and have no other interactions with him (I've moved on to another institution).",Natural sciences,Research Institute,Male,Graduate Student,Faculty,179
16,"There were multiple incidents, but one of them involved a male grad student who repeatedly made rape jokes and threats towards female grad students. ",Humanities,Research Institute,Male,Graduate Student,Graduate Student,25
17,"I was in a slightly conservative English department. I was very engaged but having trouble finding people to work with. The two women most likely to supervise my work were obviously having their own struggles: one had a four year old and complained to me that she couldn't get away for conferences. She saw me as a sympathetic ear when I went to a Kathy Acker conference, rather than someone she would want to champion. The other, though established, obviously didnt get institutional respect and was not terribly active nor current. Mid-MA, a new hire came back to his hometown where I was studying. I was stunned how much the work he was doing around class and urbanism overlapped with the digressive research I had begun during a seminar paper on Ulysses. I found out he founded the poetry collective which was the primary draw to me studying in this region. I was a bit overwhelmed by all of this consonance. It seemed mutual (I thought, lol) and we began to work together. It was all independent because for some reason he wasn't teaching graduate classes right away. During this time I began to write about art. Of course, coincidentally, he wrote about art too. I began seeing him around at art functions & got a variously flirty and disparaging vibe. I thought he was a wonderful candidate for friend-supervisor-contermporary. His relationship to academia and being a prof was obviously troubled (by his working class roots/Marxism?). There was obviously some mutual magnetism, but what began to happen is this: He began to check out my chest during meetings. He neglected to pay any attention to my work or progress. He seemed really struck when I changed my hair from curly to straight. I finally got him into a meeting about my work and he asked if I had taken my ideas from an architect we mutually knew. He eventually titled an essay loosely based on the concept/metaphor I had created (the one he thought I was fed by the architect). I thought it was my fault for slightly crushing on him. But I have to wonder: WHAT MALE GRAD STUDENT DOESNT BRING HIS BASIC DRIVE INTO HIT GRADUATE WORK? And what male supervisor who decides to champion him isn't in some ways responding to that? I decide to write about art ""instead"" of pursuing academia. I see this person at conferences still (I am still academic adjacent though my writing and I adjunct). The vibe is just as weird. Never respect. Never inquiry about my work. He is friend with my friends but doesn't see me as worthy?       ",Humanities,Research Institute,Male,Graduate Student,Faculty,445
18,"it was maybe midway through the semester, i went to his office hours to discuss a reading i didn't understand. he sat next to me on the couch rather than at his desk, touched my shoulder and knee repeatedly, commented that he wanted to be my ""mentor"" and help me ""excel in the field,"" that i had ""real potential.""",Humanities,Research Institute,Male,Graduate Student,Faculty,59
19,"At an alumni conference hosted by the current grad students, I was an invited participant. One of my former classmates (someone I thought was a trusted friend), made inspppropriate comments towards me (ie “Hey, sexy!” as I approached a group of all male alums and grad students). At the hotel, I encountered him at the elevator and had to sort of dance my way out of his grasp. Throughout the weekend I overheard him and other male alums making crude remarks about their female colleagues at their current institutions as well as the female grad students. The female grad students shared all sorts of accounts of how these male alums had mistreated them at the conference. ",Humanities,Research Institute,Male,Faculty,Graduate Student,117
20,"I was harassed by a senior professor on an airport shuttle at the annual meeting. He leeringly suggested that he ""help"" me gain entree to a position in my field at an East Coast university, and when I brushed him off, he angrily told me ""nobody hires blondes anyway.""", Social sciences,Elite Institution,Male,Graduate Student,Faculty,49
21,"early 2010s. Advisor talked to other graduate students about my body (along the lines of, ""hasn't she gotten fatter?"") and used it as pretext for not offering me potentially career-advancing field opportunities; my actual abilities were unchanged. Additionally, advisor historically gave preferential treatment to male students. ", Social sciences,Research Institute,Female,Graduate Student,Faculty,47
22,Student hit on me in the middle of class by caressing my hands and asking me out repeatedly,Humanities,Research Institute,Male,Faculty,Graduate Student,18
23,My advisor for my PhD let me know that I would never get my doctorate if I didn't have sex with him. This was somewhere around 1976., Social sciences,Elite Institution,Male,Graduate Student,Chair/Dean/Head,27
24,"2007. A member of my thesis committee, after talking about how the Greeks slept with students frequently, hugged me at the end of our meeting, smelled my hair, would not let go, and said ""mmmm that feels good.""", Social sciences,Research Institute,Male,Graduate Student,Faculty,38
25,"As a freshman English major, I received the opportunity to work as an intern with a non-profit organization. On my second day at the internship my supervisor coerced me into a sexual situation--fondling, groping, some clothes off. I was too young and inexperienced to see how his conversation was manipulating the situation until it was too late. As soon as I could, I got dressed adn left. Never went back. Never told anyone who could do anything about it.",Humanities,Research Institute,Male,Graduate Student,Graduate Student,79
26,"Sexual harassment in 2008, when I was invited to the excursion to some Palaces during scientific visit to foreign laboratory",Natural sciences,Elite Institution,Male,Graduate Student,Faculty,20
27,"I went for coffee with a professor at a conference. We had never met before but were alums of the same university (and had been to another conference together, but hadn't interacted). He told me that I was very beautiful and would have to decide what I was going to do in my career to get ahead. He was an assistant prof at the time, and I *thought* I understood that he was trying to warn me and suggest I should be principled in my conduct. He didn't need to tell me that, but I sort of brushed it off. So, after he warned me about sexual abusers in our field, he just went on to say that I should be careful around them. He gave me names of 'safe' people as well, and repeated that I would have to decide if I was going to lower myself and sleep with guys to get ahead. So, after coffee he asked if I wanted a ride back to the conference, and I accepted. As soon as I got into the car, he grabbed my left leg and ripped off my shoe (I had sneakers on). I had no idea what was happening, but I remember shoving him and grabbing my shoe. He laughed it off and told me to calm down because he was just trying to teach me that I shouldn't wear socks with sneakers. ",Humanities,Regional College,Other,Graduate Student,Faculty,236
28,Groped while visiting area college by faculty member hosting me. Also flirted with by male colleagues at home institution. In one case retaliated against due to failure to play along. ,Humanities,Multiple,Other,Faculty,Faculty,31
29,"In the senior year of my undergraduate degree, a professor who mentored me (I was doing an independent study with him) sent me an e-mail while he was drunk saying that sex is a great way to destress and that he could help me with that. I didn't know what to do, so I just didn't respond. A week later he sent me an e-mail where he was mad and he blamed me for giving him the wrong idea.  ",Humanities,Research Institute,Male,Graduate Student,Faculty,81
30,"When I enrolled in a required graduate course, a female faculty member warned me to lay low in the course as the male professor had made sexual advances on female students in the past and then was vindictive afterwards. I began the course and just participated normally. The professor drew a LOT of attention to comments I made in class--even when I was absent, making me feel uncomfortable and causing many students in the course to recognize it as strange. To avoid interaction with the professor, I sat in the back of the class and refrained from participating for the rest of semester, limiting my own benefit from this core educational requirement, in order to avoid sexual harassment.", Social sciences,Elite Institution,Male,Graduate Student,Graduate Student,118
31,I was propositioned at a department Halloween party and groped in an elevator.,Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,13
32,"I started a new job as a visiting assistant professor and within the first month I got an email to my faculty email account from a source I couldn't trace back to that told me the sender had been watching me since I started working there ,found me very attractive and knew I was married but was interested in pursuing an affair with me. I wrote back to say I had no plans to cheat on my marriage.",Formal sciences,Regional College,Other,Undergraduate Student,Faculty,78
33,"A graduate student supervising me for the summer.  Started by showing me pornography on lab computers, would get me to work late and then not stop touching me, at one point pushed me up against a wall, pushed himself up against me, said he was going to drive to my hometown and kill my boyfriend. Famous PI was gone most of the summer, did see me a few times and told grad student ""You can stop touching <my name>"" because of what he observed right in front of him. The grad student never responded to my emails about the work after I left at the end of the summer.",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,110
34,"My department chair continually harasses me almost every day and always tries to shift the blame to me rhetorically by calling me ""trouble"" and things of that nature. His wife also works in the department (and is also tenured), so there is no way this will end well for me (a graduate student). ",Humanities,Elite Institution,Male,Graduate Student,Chair/Dean/Head,54
35,"Every single male professor when I was in grad school had been or was currently sexually involved with a student.  Some professors dated undergrads, some dated grads. 

Personal incident while in grad school: I was wearing a shirt that showed some cleavage. Professor sees me in the hallway and stares at my chest and he tells me I must come and give him a hug (hugs are not uncommon in my field of dance, but that encounter was definitely not okay)",Humanities,Research Institute,Male,Graduate Student,Graduate Student,82
36,"Professor invited fellow grad student to his apartment and groped her. He also did very divisive things to undercut other female students' confidence, including on two occasions when he attempted to bully international students into taking his choice of anglicized name for them instead of their actual names. He also tried to get me to believe I was his favorite student, in private emails. I think that was because I stood up to him a lot in class and was a bit older, so he tried to make me a weird kind of ally. He also insulted another woman - a lady in her 50s - so badly in class that she broke down in tears...and he was supposed to be her supervisor. ",Humanities,Research Institute,Male,Graduate Student,Graduate Student,124
37,Advisor/mentor kept finding ways for us to be off campus alone. Eventually asked me to sleep with him ,Humanities,Regional College,Male,Graduate Student,Staff,19
38,Chemistry professor made sexually explicit/overtly sexual comments during and undergraduate class,Natural sciences,Research Institute,Male,Graduate Student,Faculty,11
39,Sexually harassed in person & text; colleague sent text messages saying he is studying rape porn to rape me better; in person he boasted about being with prostitutes (he's married with children & says he doesn't care about them); got visibly angry & aggressive when I turned down his lunch invitations; I faced extreme retribution for reporting him; removed from teaching as retribution for reporting his behavior; he threatened me for reporting him; all attempts at professional development rejected/sabotaged (conference leave/etc.); add disability discrimination to the mix (my doctors were bullied & my chair tried to get my doctors fired for giving me medical leave); mocked for being disabled; visited repeatedly late at night by another professor seeking a blowjob (wtf?) ,Humanities,Research Institute,Male,Faculty,Chair/Dean/Head,122
40,"My philosophy professor told me that he 'didn't understand' my essay / follow my contributions in class. Asked for follow up, he said ""it just doesn't make any sense."" Re-reading later, I don't see what's so opaque about that essay. But I did see that I was the only girl in the class, and the only one not to get an A in the class overall, other than the kid who never showed up. ",Humanities,Elite Institution,Male,Graduate Student,Faculty,75
41,"Numerous incidents. Like, dozens...
For exemple, 3 teachers: 1 in high school who hold in hostage my cello, in goal to see me one on one. He treaten to get me fail (and did it)
1 at CÉGEP (he was 78 years old!!) who use his title (he was my teacher AND the director of department) to play with my results (40% instead of 89%), in order to manipulate me and sleep with me.
1 in university, was the director of the music department; I was asking for help, advices for fundraisers etc to get a cello (mine was broken) in order to go through my baccalaureate. He take me out for a drink and tell me that him and his friend had a really good escort agency....",Humanities,Multiple,Other,Undergraduate Student,Graduate Student,125
42,"A professor who was supervising my research made several sexually suggestive comments to me, and several unwanted touches. ", Social sciences,Elite Institution,Other,Graduate Student,Faculty,19
43,"December 1990. I had graduated from my B.A. in French, and was in France for a year. My advisor invited me to meet him and his wife for coffee one evening. Because I had babysat their two children through my undergraduate studies, I thought it was a lovely gesture, and agreed to meet them. The venue changed from a coffee house to a bar--again, not a problem, because I knew them well. I arrived, and my advisor was in his car smoking a joint, and beckoned to me to get in the car with him. He said that his wife couldn't make it, and asked if I wanted to go see a particularly gawdy Christmas light display with him nearby. He started the car, and drove toward it, then parked. He grabbed my hand and shoved it between his legs, and pulled me close. I was so stunned, I didn't know what to do, but pulled away while he told me of his stress getting tenure, then having terrible reviews from his graduate students the semester before. He kept talking, then drove back to the bar. We went inside, and I tried to act as though nothing was strange, then left quickly after finishing a beer.
I was upset, but thought he was high and would forget about a lapse in judgement. I did go to graduate school, and was forced to take a sparsely attended rhetoric class that he was teaching, because ***'s class was full. It was a topic I loved, but throughout the class, my professor continued to harass me, suggesting first that my paper was brilliant (but only gave me a B+), and offered to help me in his library carrel. I didn't go. He gave me information about a conference, and told me that I should submit a paper there. I hesitated, and he called me one night, asking me if I was going, so he would be sure to go, too. I didn't submit a proposal--even though it would have been a great opportunity for a first semester master's student. 
I avoided him for the rest of my studies, and did well. I was given a paid position assisting the editor of a major journal, and the graduate advisor asked me to stay for my PhD. 
Unfortunately, my professor presented a question on my master's exam that I could never have anticipated--it had nothing to do with my studies, and did not allow me to demonstrate what I did know, and so far from what other students were given that I was blown away. I knew a little--it was related to a French psychologist--and tried to answer, but was absolutely devastated, and sat in the exam sobbing for two hours before trying to write--about two pages, actually--then leaving. All the events in the car, and for that semester, came back to me, and I realized that he wanted me gone.
In my orals, the department head sat beside me, and reassured me as I talked about the other questions. The question from my harasser did not come up once, and I tried to mention it (had become nearly an expert by the time of those exams!), but the committee kept switching the topic, and then said that the question was ""unusual"". The harassing professor did not say much at all that day, which was very unlike him. 
The following week, the graduate advisor told me that he was ashamed of my written exam, and told me that I was not allowed to return. I did, however, pass my master's exam. I really felt that they wanted to get rid of me quickly and quietly.
I am incredibly grateful, in particular, to one professor, who believed me. He was excluded from my exam process because they scheduled the exam while he was on an extended trip to Brazil. He told me that he felt this had been intentional. He was extremely well regarded (***'s biographer, among other things), so it meant a lot to me that he tried to help me. ",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,674
44,"Male faculty member consistently harassed female students. When I was a first year grad student, pressured me into a number of sexualized situations and eventually sex (the sex was consensual, but with many elements of coercion and imbalance of power).",Formal sciences,Research Institute,Other,Graduate Student,Faculty,40
45,"Female peer made inappropriate and unwanted sexual advances toward me over an extended period of time—3 semesters. Touching, standing too close, online stalking. I repeatedly expressed non-interest but the behavior continued and worsened. As a male, it was nearly impossible to get her to stop without seeming like a jerk. I wanted to yell at her to leave me alone, but it doesn’t look good, you know? A guy yelling at a girl in the middle of class. ",Humanities,Research Institute,Female,Graduate Student,Undergraduate Student,79
46,"I was a first year graduate student (~2007)and was tasked by my advisor to show a visiting phd student our lab, and we also went on a field trip. During the lab tour, my advisor was with me and the visiting student- I'll call him- Dave. My advisor stepped out a ear shot for a few minutes. Dave told me his back hurt, and followed up with a smirk and told me that was because his ""cock was so big."" Later on the field trip, he pulled me aside to whisper that he'd like to ""rub one out"" on the rock outcrop we had just seen, presumably because he was enjoying himself. I didn't said anything, because I didn't want to be difficult, and maybe everyone would think he was funny and joking and I was overreacting. ",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,138
47,"As a young graduate student I had to fend off a respected academic who was very handsy at a conference dinner and repeatedly tried to grope me. When I mentioned this to a well-known professor who was organising the conference, she said ‘oh poor man! He gets lonely.’ I was thrown into him again at a conference a few years later and he wouldn’t take no for an answer, so in the end I had to call a friend to come and pretend to be my boyfriend. Currently I work in a department where the Head of School has taken to randomly asking young female members of staff if people have ever masturbated in front of them.",Humanities,Multiple,Male,Graduate Student,Graduate Student,117
48,"I was at a party at a bar during a conference. We all have had a couple of drinks. I was talking to a senior professor when all of a sudden she said ""this is how we do it around here"" and she french kissed me. I was surprised, to say the least, and did not exactly know how to react. I turned around and went back to my colleagues.",Applied science,Research Institute,Female,Graduate Student,Faculty,70
49,"I went to my TA's office hours and he put his hand on my knee and leaned in to try to kiss me. I rebuffed his advances and left the room. He then repeatedly emailed me and sent me letters about his previous sexual experiences, including with prostitutes, and suggestive poetry he'd written. Several years have elapsed but he still tries to contact me via email or social media, even though I've blocked several of his email addresses and accounts. ",Humanities,Research Institute,Male,Graduate Student,Graduate Student,81
50,"Tenured professor in my department touched me without my consent, at least 4 times that I can remember, from 2009-2011. ""Touching"" includes coming up behind me and putting his hands on my hips or lower back (2x); putting hand on upper back and rubbing; putting my hair behind my ear and dragging hand down my cheek. He also made comments about liking how I dressed and how I wore my hair. There was also just the way he looked at me; it made me uncomfortable, especially in conjunction with the touching.",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,91
51,"My college voice professor, with whom I had private lessons, regularly made inappropriate comments and observations about blow jobs, my body, and how women were generally untrustworthy during my private lessons.  He was rumored to have had sexual relationships with several of his grad students.  During one of my lessons he reached over and tried to kiss me -- I responded ""do NOT kiss me"", realizing that it was happening only because of the extensive rumors about him -- and he said ""don't kiss you? or DON'T kiss you?""  As in, ""are you being playful, or do you *really* not want me to kiss you?""  I mean this is only one of MANY stories in terms of experiencing harassment, but gross, I was 21 and he was, like, 48?",Humanities,Research Institute,Male,Undergraduate Student,Graduate Student,133
52,"Not directly related to me, but male students in my PhD cohort decided as a group to look up the newly admitted students and preceded to judge each of the new female admits' appearances based on the pictures they could find of each of the women on social media. This is just one of many similar experiences. Additionally, one of my friends in the department was locked in a room and forced to listen as a colleague described all of his sexual exploits to her despite her requests that he stop.", Social sciences,Elite Institution,Male,Graduate Student,Graduate Student,91
53,"Graduate students were sexually harassed. They left feeling terrible. I hear they still struggle. The profs? Still here. Still heading thesis committees and teaching classes. As if nothing. They got to take sabbaticals (not kidding) to ""recover"" from what they (the profs) ""went through"". ",Humanities,Research Institute,Male,Staff,Staff,45
54,"The Lab Manager in the lab I was working in is a habitual sexual harasser. He has made sexual comments to many (if not most) of the female staff and students in the lab. This was especially egregious in situations where he was drinking alcohol (department parties, conferences, lab outings). On one occasion, he loudly and repeatedly asked female students and staff members (including me) about our masturbation habits. This was in from of our supervisor/primary investigator. On another occasion, another female student and I were comparing the boots we were wearing as they both had decorative straps on them. The lab manager interjected, asking us whether those straps were used to hold our legs up during sex. These are a few of the more salient incidents with this lab manager, there are many other passing comments made over the 3 years I worked in that lab that made me uncomfortable. While I didn't feel safe calling him out directly, I made it as clear as I could that his behaviour was unacceptable to me. I did not laugh or respond to his comments. I got the impression that he resented me for this, and he spoke negatively to our supervisor about me on several occasions. ",Applied science,Research Institute,Male,Graduate Student,Graduate Student,207
55,"I was offered an A from a professor from France in return for sexual encounters while in the Language Institute at the University of Colorado, Boulder, Co in the summer of 1962",Humanities,Other Type of School,Other,Graduate Student,Faculty,32
56,constant sexualized comments and references to my private life and that of others., Social sciences,Regional College,Male,Faculty,Chair/Dean/Head,13
57,"After two major presentations to the board of trustees, at which males also presented, the VP of Academic Affairs (CAO) walked in front of the board of trustees and all in the room and learned down and gave me a big hug without asking and said great job sweetie.  This same response was not given to the men who presented at the very same meeting.",Natural sciences,Other Type of School,Male,Chair/Dean/Head,Chair/Dean/Head,66
58,"A Full Professor announced on many occasions that he does or wears things because he heard through the grapevine that when a person does or wear those things, ""She is on her back with her knees behind her ears.""  ", Social sciences,Research Institute,Other,Faculty,Faculty,41
59,"He said he was sorry to hear I was engaged to be married, because he had thought I was serious about archaeology. He had two young children. ",Natural sciences,Elite Institution,Male,Graduate Student,Graduate Student,28
