,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
10,"On my first day of graduate school, my new phd mentor invited me into his office and shut the door. He sat right across from me and ran his hand all the way up my thigh. A year later, at the APSA meeting, he and a colleague engaged in sustained ogling, sexual banter, and grabbiness for several hours. It was excruciatingly humiliating and enraging. ", Social sciences,Research Institute,Male,Graduate Student,Staff,65
11,"A series of emails - mostly links to music videos, with suggestive ""interpretive aids."" He was my boyfriend's professor and I told my boyfriend it made me uncomfortable. My boyfriend spoke with him and then came back to me and told me he had said it was just a joke.",Humanities,Elite Institution,Male,Graduate Student,Faculty,50
12,Multiple professors in my department commented on my body image and weight. One professor in particular made a sexually charged comment in regards to my body. This professor was known to have made creepy comments on student’ physical appearances in the past. I was wearing shorts with black leggings under- nothing sexy or revealing. This was in 2011/2012.,Humanities,Regional College,Male,Graduate Student,Faculty,58
13,"Another female graduate student and I had drinks at the biggest national conference in our field with 2 esteemed male professors; these men were co-authors of a book with my advisor. They were from different institutions. After drinks we walked and talked, and split up; the older one (who I was with) told me that we should go up to his room and talk. Once there, we kissed. He took his pants off and pushed my head to his penis, and asked me to give him a blow job (which I did.) Then he asked me to leave. I had no intention of doing anything sexual; I idolized him and wanted to talk with him. He used me for an orgasm and threw me away like a kleenex. My self esteem was shaken for years. This occurred in 1982; I'm now 59 years old.", Social sciences,Multiple,Male,Graduate Student,Graduate Student,144
14,In 1986 I found a hand written letter (several pages long) in my campus mailbox from my advisor which specified in great detail his sexual feelings for me and what he wanted to do with my body.  I was his teaching assistant in a grad level methods course at the time.  He had made other comments in the past year indicating his interest in me which I always deflected., Social sciences,Research Institute,Male,Graduate Student,Faculty,71
15,"I've been harassed and propositioned by both female and male colleagues. I've continually witnessed how senior male academics treat their junior and female colleagues, both in their objectification and in 'mansplaining' to them. I've seen women in academia change institutions to get away from the male dominance of power; which in some instances involved changing into disciplines that are more female-driven. I had to put in two separate and formal sexual harassment claims within my first two years at the same institution. I've seen male academics respect the mind of a female academic, but who have disrespectfully in turn attempted to desire her body as well. I've heard/seen countless tales of supervisor-student affairs, predominately when the supervisor is male and the student female. ",Applied science,Research Institute,Other,Graduate Student,Graduate Student,124
16,"Several of my colleagues (graduate students) have been pushy and insistent inviting me to go on dates with them. They wouldn't take ""no"" for an answer, especially since, according to them, I wasn't ""seeing anyone"" at the time. When I consistently declined, they sent me email rants, calling me names, refusing to speak to me ever again etc.",Humanities,Other Type of School,Male,Graduate Student,Graduate Student,58
17,"Male professor made several comments over the course of the semester about women being intellectually inferior. On one of my assignments, his comment was, “Your writing is lively and engaging, too bad you don’t know how to think.” Near the end of the semester, I had to give a presentation for the class. The screen wasn’t lowered completely when I began to speak, so he interrupted me, and told me to fix it. I walked over toward him and had to bend over quite low in my nice presentation dress to yank the screen the rest of the way down. He said, “Oh, I wish I could get women to do that more often.” I didn’t see his gesture, but apparently he was swooning over my rear end in front of the (almost entirely male) rest of the class.",Humanities,Regional College,Male,Graduate Student,Graduate Student,139
18,"I had two male colleagues and editors of a literary journal published by the University graphically describe the “fisting” scene in Caligula over a “working lunch” in which they were interviewing me for an editorial position on the journal’s staff, presumably to make me uncomfortable as some sort of test of my potential “fit” on the editorial board. 

At another time, after they gave me the job, (presumably because I didn’t get up and walk out of that lunch or file a complaint about it) they joked about taking bets on how long I would last in Afghanistan as a reporter before I got raped. One of the two had fabricated press credentials (the other one assisted in this endeavor) so that he could travel there and bolster his CV by writing and publishing as a “war correspondent.” They bantered back and forth about the “over/under” of my potential rape until I managed to deflect the attention and redirect the conversation back to the literary journal we were supposed to be editing. ",Humanities,Research Institute,Male,Faculty,Faculty,173
19,"In a department where sexual harassment, race-, sex- and age-based discrimination, and highly questionable relationships between male professors and female students was rampant, what stood out was one person who complained about the situation. I was actually banned from taking a class in my discipline, in my specific subject, at a public institution and program into which I had been matriculated, owing to my complaints. I was denied employment opportunities for which I was not only qualified but the only candidate who was qualified. I am blackballed to this day in the local employment market. I became severely depressed. My advancement opportunities were severely curtailed. My entire personality changed and I have continued issues of trauma and depression now. ",Humanities,Research Institute,Male,Graduate Student,Graduate Student,120
20,"A professor from another department and I had decided to co-edit a book together about food. It didn’t strike me as odd that we would talk about the book over dinner - it was a food studies book and dining was part of the research. At dinner he proceeded to drink a bottle of wine (I had one by-the-glass serving and refused to join him in the bottle). He put his hand on my leg; I moved it. This repeated many times, maybe ten. He tried to hold my hand as we left the restaurant. Invited me back to his place because his wife and child were away. I refused. Said I had to get my bike from my office which took me back into a building on campus. He decided to come with me. Tried to kiss me. I was so freaked out that I decided to skip trying to bike in Manhattan and just get a cab. He followed me out and when a cab stopped for me, he tried to push me and himself in. I braved myself against the doorframe and pushed him off. The next morning he emailed to say he had a great time and we should do it again. Years later I filed a report against him. The only reprimand that the EOE office had for him was to stop drinking with individual students. He was extremely uncomfortable but relaxed when they recounted the details (a sign that he had done something worse with someone else, perhaps?). He said he wouldn’t be able to do his food studies job, be himself, without being able to drink with students. The EOE office agreed and suggested he be more careful when drinking with individual students. That’s where it ended. Needless to say, I never got to co-edit that book with him which would have helped my career.", Social sciences,Research Institute,Male,Graduate Student,Faculty,312
21,"I was asking for a recommendation a few years after I had graduated. The professor asked me to come to his house to have lunch and talk about my plans, which we did. Then he asked me to take my shirt off, which I did because I needed the recommendation, as I had had a rocky time grade wise at my university. ",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,63
22,"Professor hit on me in his seminar and office hours and invited me to his house the day after the semester ended. He then offered me drugs and booze and talked about his sex life in graphic detail. He asked if I was into Marquis de Sade and BDSM and took it as an excuse to beat me, resulting in bone fractures. We slept together for 2.5 years.",Humanities,Elite Institution,Male,Graduate Student,Graduate Student,68
23,"A senior professor in my research area frequently commented on my body, dress, fitness level, etc. He would corner me at department social events, making me feel humiliated and trapped. He would also ""mistakenly"" touch me inappropriately (graze my breast when reaching out to touch my shoulder, sneak up behind me in the kitchenette and reach for the fridge, placing his hand over mine, which was already on the door, etc.)",Formal sciences,Elite Institution,Male,Graduate Student,Faculty,71
24,"A professor for whom I was TAing started inviting me to get happy hour drinks on occasion--I took it as friendly and supportive at first. Then he started hugging me goodbye, lingering longer and longer each time. Culminated with him texting me over a holiday break about how he couldn't stop thinking about me.",Natural sciences,Elite Institution,Male,Graduate Student,Faculty,54
25,"After the first year of my PhD program, my MA thesis advisor, whom I planned on working with further, pursued me for a whole summer. I was 25; he was 45. I kept telling him I just wanted to be friends, and he seemed to get it, but then he'd show up at my apartment with flowers and champagne. Although I wouldn't let him touch me, and never indicated I wanted more than friendship, he wanted to formally ""declare"" our imagined romance to the department. He'd decided I was going to be his next (3rd) wife. Finally, I told him to leave me alone, and he responded, ""you have no idea how much power you wield over other people."" Ugh. But he did leave me alone.",Humanities,Elite Institution,Male,Graduate Student,Faculty,126
26,"I received a series of inappropriate sexual messages from a college professor of mine whom I had worked closely with in the past. Following the initial messages, he continued to message me and try to continue the conversations in public, even when it was obvious that I wanted him to stop.",Humanities,Regional College,Male,Undergraduate Student,Faculty,51
27,"A professor in another department routinely would proposition me when he ran into me on campus. I declined, but he was persistent. I was out one night for a drink with one of my friends (who was an undergraduate student), and this same man, drunk this time, approached us on the street, grabbed my friend, tried to put his hands down my friend's pants.  Made many harassing comments.",Humanities,Research Institute,Male,Graduate Student,Faculty,69
28,"During a conference happy hour, a professor from another university complimented the paper I had presented and invited me to submit it for publication in a journal he co-edits. Later, he kissed my cheek, tried to kiss me on the mouth, and asked if I had ""any more time"" to spend with him that night. ",Humanities,Research Institute,Male,Graduate Student,Graduate Student,56
29,"Between 1997-200 this happened a lot with one particular fellow student,peer, and poet (who is now a prominent literary critic in Canada).  It began when he showed interest in helping me improve my writing.  Although married, he invited me out for coffee to discuss my writing and tell me how I could ""fix it"".  He did not look at my work beyond a line or two, but he flirted heavily with me and proceeded to explain to me what was wrong with women's poetry.  I have heard that he did this coffee invitation thing to a lot of women poets.",Humanities,Other Type of School,Male,Graduate Student,Undergraduate Student,104
30,"- A married male professor with full tenure in my department is known to sexually harass all his female Ph.D. students, from lewd remarks to groping and inappropriate touching; if you rebuff him he'll make your life hell and use his extensive connections to make sure no university will hire you.
- The head of the department is known for inappropriate remarks regarding the bodies and clothes of his female students. His office has a couch and when receiving female students he will insist on sitting on the couch next to you. With male students he sits at his desk.
- During an oral presentation a male professor plopped himself next to me and leaned his thigh into mine. When I moved my leg away he moved himself so that we would touch again.",Humanities,Elite Institution,Male,Graduate Student,Faculty,132
31,"Professor in the department looked all female students up & down and made sexually charged comments towards female students. This professor would stop and stare at me down a hallway, and when I would try to walk past him, make a comment about my outfit or my hair or something else completely inappropriate. I was warned about this professor by many people before entering the department, so it's clear that the department considered them acceptable.",Formal sciences,Research Institute,Male,Graduate Student,Faculty,75
32,"I was at a public event with students, faculty and staff at the end of the year and a faculty member gestured to my chest (I'm trans and still had breasts then) and said she hoped everything went well (I assume with my top surgery, which I don't know how she knew about). I know it's not the biggest thing but I felt so incredibly violated to have someone gesturing at and speaking about my chest at all, much less in public with students and my colleagues in close proximity.",Natural sciences,Regional College,Female,Staff,Faculty,90
33,"2014. I served as a TA for him; it was a large lecture class, and so he had to wear one of those microphones that clip on and are attached to a little battery pack. Most classes, he would ""accidentally"" drop the battery pack in his pocket before turning the mic on. He had a tremor, so there was a plausible excuse, but he would ask me (a) to unbutton his shirt to clip the microphone on properly and then (b) reach into his pocket to take out the battery pack and turn it on (I was then expected to put it back into his pocket). This felt super weird and creepy, but I went with it because he made it clear that there wasn't another choice. Sometimes, during class, he would ask me to step outside of the classroom with him (into this little vestibule). He'd put his hand on my arm, look deep in my eyes, tell me that it was time for a break and he was going to head to his office, and to tell the students to come back / expect him back in 15 minutes. I don't know whether this was a proposition or not, but the physical contact alone during the conversation was super weird. ", Social sciences,Research Institute,Male,Graduate Student,Faculty,213
34,"In the fall of 2001, I was working in my first few months of my first professional job in a private housing company at a university in south Texas. The assistant director of housing began sexually harassing other females and myself. He was not our direct supervisor, though he was above us in rank. The harassment would vary from comments - comments made to me included that we should be married, as we acted like an old married couple - to unwanted touching. At one point, he would randomly hug us. My coworker was making copies, and he came up from behind her and wrapped his arms around her. 

My coworkers and I approached the associate director, our direct supervisor, who then approached the director of housing and our regional manager, each of whom were male. While the associate director advocated for strict action in the situation, the director and regional manager just told him to stay away from us. 

Unfortunately, the associate director took a position at another university in town, and after he left, we were forced to report directly to the assistant director. My peer, the one who had been hugged at the copy machine, also left, which left myself and our student employees. He began micromanaging my work, checking upon my whereabouts constantly and questioning my tasks. The situation took a toll on me, and when my previous supervisor offered me a position in his department, I immediately took the position and left.",Natural sciences,Research Institute,Male,Undergraduate Student,Chair/Dean/Head,247
35,"As an one of five female undergrads working at a remote field camp one summer, I dealt with a bunch of behavior from one of the two senior (male) PIs that made me very uncomfortable. The PI in question encouraged heavy drinking among all at the camp, and would give the women in the camp shoulder rubs, unsolicited hugs, etc. He was very charismatic, so at the time it was possible to laugh it all off, but it never felt quite right. There were about 15 of us in total at the camp, and we slept in one big bunk room. I can remember him sometimes coming into the bunk room late, leaning over my bunk (when I seemed to be asleep), and giving me a ‘goodnight kiss’. Blech. He also regularly made inappropriate, misogynistic statements  (“I don’t know why women have children - their asses never look the same again”). This was my first field job as an ecology student. The other senior PI (also male) turned a blind eye to this behaviour (he was very “focused on his science”). The grad students/other research associates at the camp went along with the atmosphere created by the first PI, no doubt because they were also walking a fine line between being in his good vs. bad books.",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,218
36,"Continuing hostility from male colleagues toward female colleagues, over the course of a decade of employment. Once I and my female colleagues make it clear that we will not defer to our male peers, we are subject to more exacting standards of evaluation and performance, more onerous teaching assignments, exclusion from institutional support for our academic projects, changes to student grades outside of institutional procedures, and lack of promotion or other institutional benefits. Also, I have been threatened with violence from male students on two occasions (once 8 years ago, and a second occasion 5 years ago). When I initially reported the incidents, administrators told me not to make a police report. When one student continued to make threats, my institution responded in a slow and inadequate manner that further marginalized me in my department and institution, putting me and my students at risk.  The institution only responded once the male partner of a female colleague in a similar situation wrote a strongly worded email to an associate dean.  The institution did not take any measures in response to my female colleague or myself.",Humanities,Regional College,Male,Faculty,Graduate Student,186
37,"During my three years in a master's program, my first adviser began to withdraw support for my project (by stalling for months on end ordering supplies and whatnot) once he learned that I was involved with a male graduate student whom he fancied (he is openly gay, and jokes about pursuing straight men). I tried for about 8 months to navigate it without rocking the boat until I finally asked a committee member to intervene and take over my committee. During the process of removing him from my committee, which required a meeting with every-freaking-body, he then began to spread rumors that I was sleeping with the person I asked to take over my committee and that's why I wanted to change my committee. On the contrary, my eventual adviser has warned me that it would be war with this guy if I changed my committee. This guy was the graduate coordinator at the time and he 'disappaeared' numerous forms to claim I hadn't met deadlines, only to find them after I presented my own copies (multiple times). Anyone who vocally supported me was retaliated against; he had a lot of friends in high places and was the social center of the department at the time. I had only two faculty members in the end who spoke up for me. I had one write me 'poison pen' letters because I didn't realize she was an ally of his, more than a mentor of mine. It was horrible, I was blackballed for several years, I had to sneak around to apply for a Ph.D. program AND had to tell my prospective Ph.D. adviser about all of this before I even really knew her,  I contemplated suicide, I contemplated leaving academics, and I had to worry for half a decade whether anybody thought I was a decent academic. I was so marginalized socially and professionally for years, it almost drove me out of the industry. I completely rolled over once speaking up incurred more abuse. I didn't know how to defend myself as a 20-something graduate student. I was astonished that everyone looked the other way with such ease. I was heartbroken that my hard work mattered less than his fun parties and vindictiveness. It absolutely broke me. ",Natural sciences,Regional College,Male,Graduate Student,Faculty,378
38,"At the American Astronomical Society meeting last year, a senior male approached me and asked me if I was married or had any children. He also asked me what day I was leaving. I lied and said the next day, and he goes ""that's a shame, I would have liked to see you more"". ",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,55
39,"I was an undergrad student (18 years old) and my then-professor (in his sixties) out of the blue offered me a job in his lab. I took it without hesitation, since on-campus jobs are hard to come by. He'd come down while I was working to flirt heavily with me which creeped me out, knowing that I couldn't leave the lab mid-procedure. He offered to ""show me a good time"" if I went on vacation with him, and kept insisting once I turned him down. A colleague/friend who worked in the lab with me told me she'd made the mistake of giving him her cell phone number when she was hired, and she showed me messages sent late at night from him saying she was beautiful, asking her why she hadn't come by his office to say hi, and then angry and demanding ones calling her names for not answering him. Another friend/colleague who worked in the same lab and who was a bit heavier showed me messages from him expressing appreciation for ""curvaceous women"". We were all incredibly uncomfortable with the situation. None of us were older than 20.",Applied science,Elite Institution,Other,Graduate Student,Faculty,190
40,"In June of 2006, at a pub near campus after conference event. Senior professor, a man I was going to ask to be my supervisor, shouted at and verbally harassed me on patio full of people, in front of an amassed group of colleagues. He made fun of me and speculated about me sleeping with the male student I happened to be sitting with, and then worse, go on to accuse me of being no good at my work, tell me that I shouldn’t start a reading group because my language skills – in a class he had never taught me – weren’t good enough. He publicly humiliated me and plenty of people, male and female colleagues alike, sat there and said nothing.",Humanities,Research Institute,Male,Graduate Student,Graduate Student,123
41,"Early 2017: a fellow phd student I shared the office with got naked and jumped on top of me, trying to kiss me and groping me. I asked her to stop and told her several times that I did not want anything with her, that I did have a girlfriend (though she knew it) and I loved my girlfriend. This continued in the next days through sexual talk,  showing naked photos, and touching. I was incapable of dealing with it, preferring to ignore it, men are never taught that they can be harassed as well, and mistake all with interest from the other woman. Eventually, I fell for it and sex happened. I was lost after that, I did not know whom to ask for advice except my harasser, who continued to harass me and driving me into sex. She used everything from blackmail me that she would made it public and I would loose my girlfriend, to shame me for the cheater I was, to make me believe I was the one hurting her by refusing to be with her. In conferences she also suggested me several times to have sex and eventually started spreading the rumours about us. I, and the people around me got out of this quite damaged, she got out of this believing she did no harm to anyone, oblivious to any pain but her feeling rejected.",Natural sciences,Elite Institution,Female,Graduate Student,Graduate Student,233
42,"Seated behind a very prominent mid-career scholar during a conference the summer before last in Washington, my colleague and I saw a white-haired male historian introduce a very attractive and 15-20 years junior female student to the academic star in question. He explained that she was a great fan of his work. The Ivy League professor came to life, and in no time began pressuring her to go out to dinner with him after the panel, to ""discuss her work."" She looked stunned and very uncomfortable, caught between trying to squirm out of his aggressive invitation after having just explained her admiration for his work. Her theoretical mentor just stood by. ",Humanities,Elite Institution,Female,Graduate Student,Faculty,112
43,"In my third year of law school at the University of Michigan in the ‘84-‘85 school year, I went to a professor’s office for help. When I got there, he told me he had been waiting for me all semester. It was absolutely a sexual come on and I think I was so terrified, I can no longer remember the details. He never touched me but thereafter also made me feel uncomfortable in class. I honestly can no longer remember if it affected my grade but I remember feeling like I had absolutely no recourse and I never told anyone except my husband. ",Humanities,Elite Institution,Male,Undergraduate Student,Faculty,104
44,"There's a retired English professor at my church. He's in choir with me. Wanted to talk to me a lot because he heard I was a PhD student. Asked me to go with him to the symphony. I initially assented, but something didn't feel right, so I canceled. Later, upon hearing that it was my birthday, he blocked my way out of the choir loft, so that he could hug me for far too long, and make a very strange comment about my age. I joked about it on facebook. My priest saw and told me that I should report it to her; she said that he had been kicked out of a church across town for similarly inappropriate behavior. After I spoke with her, he didn't grab me, but he would do things like block my way out of the choir loft when we went down for communion.",Humanities,Research Institute,Male,Graduate Student,Faculty,149
45,"1) As a first year graduate student, I went to a start-of-semester party set up for us by some older graduate students. One of the older graduate students in particular was designated as the first year student coordinator, and his role was to help us adjust to graduate student life. I wore a skirt to the party. I bent down to pick something up, and this student coordinator used the opportunity to put his hand up my skirt on my thigh -- in full view of an entire room of first year and older graduate students. I was humiliated and shocked, and no one did anything. At the same institution, I was solicited by several graduate students in my year. 2) Another first year graduate student picked me up at a party, threw me over his shoulder, and wouldn't put me down. He repeated this about five times, only putting me down briefly in between. The next day, I told him it was inappropriate, and he told me I was wrong. 3) Another first year graduate student, previously my close friend, tried to initiate sex by putting his hand on my leg while I was drunk and falling asleep, even though he knew I had a boyfriend. He knew that I would not have consented if I had been sober, and he didn't stop when I said no. I lost my best friend. When I told my other male peer about it, he told me that it was hard in the world for nerdy guys, and that I should try to be more empathetic. ",Natural sciences,Elite Institution,Male,Graduate Student,Graduate Student,265
46,"An older white male professor commented in detail about vividly remembering a sleeveless top I'd worn at a mid-summer conference many years prior, then ordered me to sit between him and another male professor at a post-conference dinner saying something along the lines needing a young female presence next to them.", Social sciences,Multiple,Male,Graduate Student,Graduate Student,51
47,"One professor repeatedly held my arm whenever I met with him as a graduate student, even though I tried moving away. Another professor proposed marriage to me three times (I am already married and told him that and he was persistent despite the fact that I only talked to him about academic matters). The second professor was quite old. I told myself he didn't know better because of his age and tried to laugh it off. He still tries to meet with me whenever he is in town. ",Humanities,Elite Institution,Male,Graduate Student,Faculty,89
48,"4 separate professors made repeated negative comments about women in academia (that we don't belong there), some comments were of a highly offensive and suggestive nature (one professor was described to me before I took his class as ""dangerous but just be nice and you'll get a good grade""), grades were threatened, additional scholarship funds withheld, one-on-one meetings often requested (which were extremely uncomfortable), generally a pervasive negative atmosphere focused on assertions that women were ""less than"" and really should not be in a grad program. ",Humanities,Research Institute,Male,Undergraduate Student,Graduate Student,87
49,"I was 19 and a junior at a coed private research university, eager to do my best so I could get into a top graduate school. A full professor in my field invited me to have tea on a Sunday afternoon at his apartment to talk about my preliminary research for my senior thesis project. We sat down on the couch and he served me a bizarre strong liqueur that I didn't drink. Suddenly, in the middle of our conversation, he threw himself on top of me, kissing me even as I squirmed away. He groped me, tried to push himself into my underwear under my skirts,  and kept trying to French-kiss me as he attempted to undress me. Somehow I managed to push him off me. He then cried and said he was lonely and begged me to stay to eat something. I was terrified he'd bad-name me to my other professors in the department so I stayed. The ""meal"" was almost worse than the groping: for two hours, he didn't ask me anything about my research or give me any real advice but instead made me listen to his problems with his relationships, divorce, etc. After that day, he made no effort to find out how my research on my senior thesis was progressing--or even if I had found someone else to supervise my project.",Humanities,Elite Institution,Male,Undergraduate Student,Graduate Student,228
50,"I was an assistant professor at an R1 university in the early 1990s.  I invited friends over for a party, including a colleague in a different department with whom I had had a date a week before.  I had told him I wasn't interested in dating him, but that we could be friends. As people were leaving the party, I encouraged him to leave.  He kept hanging around.  Finally, after the last guests left, I insisted that he leave.  I was angry and tired, and had only had a little food all day and then a glass of champagne that evening.  I threw up and he rushed to the bathroom to ""help"" me - with me telling him to leave, that the party was over, and I did not feel well.  Instead, he pushed me into the bedroom, insisting that he only wanted to ""help"" me.  He raped me, then acted as if this had been a romantic start to a relationship and asked when we could go out again.  I disagreed.  He left.  I emailed him a few days later to tell him to stay away from me and that it had been non-consensual, rape.  He has stayed away since then.  I also told some of the women in his department and one male colleague right away.  They were appalled and made sure that he was never again in my presence. They have watched his behavior carefully around women since then.  ",Humanities,Research Institute,Male,Faculty,Faculty,258
51,"The Provost that supervised me at the time kept inviting me to do personal activities (i.e. go out to dinner ""for a meeting"" or to a college-related activity) with him.  When he indicated that he wanted the relationship to become intimate at one of those ""meetings"", I realized that I was in a terrible situation.",Humanities,Regional College,Male,Graduate Student,Faculty,56
52,"I was an 18-year-old high school senior, at a prestigious R1 for a campus interview weekend for a merit-based full-ride scholarship to said institution. During a dinner on a boat cruise, which I believe involved alcohol for the faculty conducting these interviews, a senior member of the committee, who was also a dean of the college of letters and sciences, laced his finger through the belt loop of my jeans to pull me closer to him and draw me into conversation about my potential future at the institution. This occurred in front of other students, but it is likely that no one else really noticed. I physically recoiled, stepped back and maintained my physical distance from this man for the rest of the weekend. I did not receive the full-ride scholarship, but I did receive a lesser scholarship. In the intervening years, I have always wondered if the real reason was I did not seem ""amenable"" enough to this powerful man.",Humanities,Elite Institution,Male,Graduate Student,Undergraduate Student,161
53,"After having to take 2 years of unpaid maternity leave to care for twins, as a single parent, I returned to my TT job as assistant prof.  My then female chair singled me out for abuse and retaliation; refusing to provide deadline extensions when my childcare fell through, giving me terrible scores on my annual reviews; forcing me to march up and down the hallway and apologize to colleague's I'd ""offended"" in sending a mistake email.  When I confronted her about my low annual review scores, she then referred to my pregnancy and maternity leave (all unpaid!) as a ""hiatus"" and made sure I knew that ""things were different now.""",Humanities,Research Institute,Female,Faculty,Chair/Dean/Head,112
54,"I was teaching at an arts school, and our new chairman put his hand on my butt. I asked him to not touch me-- he got very offended. A week later, the chairman made a display of fondling a female coworker in the mail area-- she gave me one of those fakery giggles. I stared and made no comment. A month later, I was fired -- after 8 years there",Humanities,Regional College,Male,Faculty,Graduate Student,70
55,"A faculty member, when I asked for a letter of recommendation to PhD programs, told me that I should consider that, because I had children, I would have to ""turn [my] husband into a house husband, which would be really unfair to him] in order to be a successful academic.",Humanities,Other Type of School,Male,Graduate Student,Faculty,50
56,"At the end of my first semester as a PhD student, a highly successful, conservative female professor (my adviser) took our class out to dinner. A classmate who was also a first-year PhD student, but in another department, came up to me in front of the professor and would not stop talking about how his friend was attracted to me and wouldn't stop talking about how ""hot"" I was. He went into great detail about how many people were talking about it and what this guy had apparently said. It was very uncomfortable, and it made me self-conscious about my credibility with my adviser for the subsequent 5+ years of graduate school.

During the same semester, a tenured professor would blush around me and seemed to have a crush, and some of my fellow students teased me relentlessly for thanking him at the end of each class. (I used to do this to all professors--Midwestern courtesy overkill.) When someone who wasn't in the class started teasing me about it at a party, I told her that I really was just being polite and wasn't trying to attract attention for it. She replied, ""It's ok--you're just a sexpot.""",Humanities,Elite Institution,Other,Graduate Student,Graduate Student,196
