,index,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
10,1018,"The Lab Manager in the lab I was working in is a habitual sexual harasser. He has made sexual comments to many (if not most) of the female staff and students in the lab. This was especially egregious in situations where he was drinking alcohol (department parties, conferences, lab outings). On one occasion, he loudly and repeatedly asked female students and staff members (including me) about our masturbation habits. This was in from of our supervisor/primary investigator. On another occasion, another female student and I were comparing the boots we were wearing as they both had decorative straps on them. The lab manager interjected, asking us whether those straps were used to hold our legs up during sex. These are a few of the more salient incidents with this lab manager, there are many other passing comments made over the 3 years I worked in that lab that made me uncomfortable. While I didn't feel safe calling him out directly, I made it as clear as I could that his behaviour was unacceptable to me. I did not laugh or respond to his comments. I got the impression that he resented me for this, and he spoke negatively to our supervisor about me on several occasions. ",PhD student,Phd Student,Lab Manager in the lab I was a student in.,Male,Male,Medicine,Research Institute,Graduate Student,Graduate Student,Applied science
11,2001,"In an interview for an Assistant Dean position, I wearing a suit jacket and skirt, the hiring Dean smirked, told me he was a ""leg man"" and patted me on my bare knee.  ",non-tenure track faculty,Non-Tenure Track Faculty,Dean who would be hiring for the open position,Male,Male,Political Science,Elite Institution,Faculty,Chair/Dean/Head, Social sciences
12,651,"Much older full professor stopped one of my female students in the hall to loudly compliment her body publicly, and then pointedly told me I could learn a lesson",Assistant Professor (student was a senior in college),Assistant Professor (student was a senior in college),Full professor,Male,Male,History;International And Area Studies,Research Institute,Graduate Student,Faculty,Humanities
13,66,"I was assisting my faculty mentor at a conference  -as I had many times previous - with his walker/wheelchair, and while I had caught him watching me before, this time he was drunk (I guess he had been drinking that afternoon, because it was only 5:00 pm or so). He leered at me as I bent over to adjust the equipment and said, “You know what I like best when women bend over to help me out? The view...” and he tried to look down my blouse. I moved away, appalled, and his roommate/buddy looked away and said nothing. I excused myself and left. Later I asked some of his former graduate students about the incident (all women), and they confirmed he had said similar things to them while leveraging his disability to ask for their help.",Second year assistant professor.,Second year assistant professor.,"Full professor, my assigned faculty mentor",Male,Male,English,Research Institute,Faculty,Staff,Humanities
14,1571,"I was a first year undergrad. I took a philosophy course by a prof who was also the head of a very prestigious publishing house. After a successful exam he approached me to invite me to get involved with the publishing house, which I was really excited about. As soon as I got my first couple of assignments (reviews, social media) he started to flirt with me, invited me to his house ""to see his library"" and said he could make me meet Umberto Eco if I went to the Frankfurt Buchmesse with him. As soon as I understood the threat I felt humiliated and frigthened, wrote an email to him and left the job, never took his class again. Later I learnt that at the time he had a gf in Germany who was his former grad student and an ex-wife he left as soon as she got pregnant. He was around 60 at the time, I was 19.",Undergrad student,Undergrad Student,Full professor,Male,Male,Philosophy,Other Type of School,Graduate Student,Faculty,Humanities
15,292,"I went to office hours and the professor explained his admitted misogyny by describing how when he was a student posing in the nude to earn money, women art students spread their legs to encourage him to embarrass himself by having an erection.",Graduate student,Graduate Student,Celebrated full professor with a MacArthur grant ahead of him.,Male,Male,Art History,Elite Institution,Graduate Student,Graduate Student,Humanities
16,1960,"November 29, 2012: I was groped and harassed by one of the most senior researchers in my field after presenting my first conference paper. I was asking him for advice on my presentation and he said that he was ""too busy imagining what was under my dress"" to listen to what I was saying. He whispered that in my ear and placed his hand on my lower back. After I pulled away, he persisted, groping me (including my upper thigh, underneath my skirt) and demanding that I return with him to his hotel room. He additionally accused me of sleeping with my co-author to gain first authorship on my publication. At one point he told me that he and his wife ""had an understanding""; and later that I owed him a kiss, at the very least, which I refused. I told him several times that I wasn't interested and that his actions were inappropriate. I tried to diffuse the situation politely, because my career was at stake. We were in a foreign country and I felt trapped throughout the entire ordeal.","PhD Student, 1st year","Phd Student, 1St Year","He was a tenured faculty member at UC Berkeley, I was a first year PhD student at MIT. His lab was one of the two most closely associated with my own in terms of research focus. In short: We would be at all of the same conferences. If I ever tried to get a faculty position post-doctorate, he would very likely have sway.",Male,Male,Computer Science,Elite Institution,Graduate Student,Graduate Student,Formal sciences
17,294,"Too many to detail here (10 years ago). The first incident was when my dept. chair handed me a folded flyer before a meeting.  It was an ad for pole-dancing lessons, and the chair told me, ""in case this academic thing doesn't work out for you, here's an alternative career option.""",First-year tenure-track faculty member. ,First-year tenure-track faculty member. ,Department chair. ,Male,Male,Music,Research Institute,Undergraduate Student,Chair/Dean/Head,Humanities
18,2277,"Gang stalked and harassed by faculty members after I was no longer a student. A male faculty who works with the Veteran students at CCBC made me aware that his wife no longer has sex with him. Each time I had to register for classes, he would take me aside and ask deep personal questions about my life. He told me that he had sexual dreams about me. He made sure that my file was always hidden on his desk. No one else could touch my file. They couldn't even find it. It was normal procedure for me to be forced to wait there for up to 2 hours while they fiddled around looking for my file, called my professors to make sure I could take the class, emailed them and insisted I wait for an email response, and whatever else they were doing. I always had permission to be in the class from the professors and the VA doesn't care what classes I take, so long as this is an accreditted college. So because the admin person was sexually harassing me, I was also forced to endure mistreatment based on my protective status as a veteran. After everything was filled out, this sexual harasser would then insist on sitting down and reviewing my entire career at the school, claiming he could not read his writing. When I complained to the head of the VA, he insisted angrily that the sexual harasser worked in the finance office. That he does but he also represented the Veterans at the school. The head of the VA department for CCBC did not care that I was being sexually harassed or that I was forced to wait 2 hours at the Veterans desk at the finance office. He wasn't listening and was instead angry that I refused to go to his frat party where alcohol was served. He then insisted that I was mentally ill for using the adult words, ""CYA"" and ""BS."" What I meant was that these people refused to allow me to leave their office until they had covered their butts that the class was paid for and that I would not sue CCBC if I took an elective for fun that I wanted, seeing as I already have a degree and the classes I took with them were just for fun. And it is totally BS that they would force me to stand there and wait in their office for hours while they track down professors who have a life. I said nothing wrong but this abusive faculty member told me I was insane and that he was calling the behavioral health department to punish me for speaking  up to him about the sexual abuse, harassment I had received at CCBC. I had already told him that I had quit the campus a week before. Needless to say the abusive woman at the behavioral health department called me on my cell despite the fact that she had in writing that I was no longer a studdent, and she left a voicemail telling me she would recommend me mental  health treatments. I called her back and asked her to quit stalking me since she knew I was not a student and she had no legal right to call me and because I had done nothing wrong. In this was she was psychologically abusing me and defending piss poor treatment, sexual harrassment, age discrimination, Veteran's discrimination I had recieved, and MANY MANY other students have placed on ratemyprofessor.com, or had told me in person they had suffered. I watched the staff demean and speak down to other students, I watched 2 of my proffessors scream and yell at students and stomp out of the clasroom.Students talked about fights they had with students and named names in front of other students, and students whisper to each other about the staff behind their backs, and sometimes in front of other students. One professsor admitted she hated her careerfield as a child, and hated teaching in public schools. Many of the professors bragged about only getting their degree so they could make money teaching at the college level. I put up with the chronic sexual abuse, psychological abuse, verbal abuse, gang stalking, age discrination and disccrimination against veterans and the over all violent, explosive and hostile environment until I could take no more. ",Former student ,Former Student ,Veteran's admin and the head of the behavioral health department,Various incidents with people of different genders,Other,Art,Other Type of School,Undergraduate Student,Staff,Humanities
19,2414,"I was at a symposium (a few weeks before graduate school started) with members of the IU Anthropology community. The first night, the professor approached me and asked me to get a drink with him, he insisted on buying the drink. It was just him and I for the majority of the night, and I was super uncomfortable after leaving the hotel bar. The next night, he asked me to go downtown with him and play pool and get drinks with him, to which I declined. Now that I've started graduate school, I see him from time to time and he makes me very uncomfortable. ",Graduate Student,Graduate Student,"Full Professor, one of the, if not the only, Native American professor at IU, former director of FNECC ",Man,Other,Anthropology,Research Institute,Graduate Student,Chair/Dean/Head, Social sciences
20,854,"1) As a first year graduate student, I went to a start-of-semester party set up for us by some older graduate students. One of the older graduate students in particular was designated as the first year student coordinator, and his role was to help us adjust to graduate student life. I wore a skirt to the party. I bent down to pick something up, and this student coordinator used the opportunity to put his hand up my skirt on my thigh -- in full view of an entire room of first year and older graduate students. I was humiliated and shocked, and no one did anything. At the same institution, I was solicited by several graduate students in my year. 2) Another first year graduate student picked me up at a party, threw me over his shoulder, and wouldn't put me down. He repeated this about five times, only putting me down briefly in between. The next day, I told him it was inappropriate, and he told me I was wrong. 3) Another first year graduate student, previously my close friend, tried to initiate sex by putting his hand on my leg while I was drunk and falling asleep, even though he knew I had a boyfriend. He knew that I would not have consented if I had been sober, and he didn't stop when I said no. I lost my best friend. When I told my other male peer about it, he told me that it was hard in the world for nerdy guys, and that I should try to be more empathetic. ",First year graduate student,First Year Graduate Student,"Older graduate student, head of the ""welcoming committee"" ; other first year graduate students ",Male,Male,Physics,Elite Institution,Graduate Student,Graduate Student,Natural sciences
21,2050,Rape,New grad student,New Grad Student,Advanced grad student,Male,Male,English,Research Institute,Graduate Student,Graduate Student,Humanities
22,812,"A senior member of the Classics Department at the University of Texas at Austin. I was a doctoral student and he invited me to his house under the guise that there would be several of us watching a Spurs basketball game. I was the only one. He tried to pin me to a wall and kiss me as I tried to leave. After that point, presumably because I rebuffed him, he treated me terribly. I have emails to prove it. Even as an outside committee member, he refused to accept my dissertation for more than two years. It was horrifically stressful and I had every reason to believe that he was bad-mouthing me everywhere (turning the fact that I could not get my dissertation done into the message about my lack of abilities...when he was the one refusing to read it). It is well-known that this professor is a sexual harasser. Her was formally accused more than once through the University and both of those women had their careers ruined. He remains and is still teaching today.",I was a doctoral student,I Was A Doctoral Student,"Senior faculty member, Department of Classics, outside committee member",Male,Male,Classics;Art History,Research Institute,Graduate Student,Graduate Student,Humanities
23,1203,"My harasser has a long history of sexual harassment in our department--a history of inappropriate comments and touching women without their permission (including, I have heard, laying his hands on a pregnant woman's stomach and telling her how sexy he finds pregnant women). 

Here's what happened to me, specifically: I was scheduled to observe his teaching as part of our peer teaching observation procedures. At the end of our pre-meeting, he asked if he could answer a question. When I said he could, he proceeded to ask me about my sex life. He asked, since my wife and I were both females and ""had the same plumbing,"" how does that work? Does one of you take on a more masculine role in the bedroom?"" 

After reporting him, he turned up at my office agitated and upset with me, and didn't leave until I shut the door in his face. Since he is a white male gun owner, I was scared, and my department chair walked me to and from class for a week in case I ran into him in the hall. ",Assistant Professor ,Assistant Professor ,Adjunct faculty ,Male,Male,English,Research Institute,Faculty,Faculty,Humanities
24,525,"At a major conference, I was on the way to the bathroom and a fellow graduate student in my department propositioned me for a threesome. When I said no, she asked if I was sure at least twice while she had a hand on my arm.",PhD student,Phd Student,PhD student,Female,Female,Musicology,Elite Institution,Graduate Student,Graduate Student,Humanities
25,1270,"over one-on-one drinks my first semester as TT AP accused of ""stealing classes"" by a senior male colleague which he ""used to teach because his ex girlfriend was [my race]""; same person sent dozens of unsolicited emails about ""ways to make my book ms better""; later plagiarized my work, stalked and attempted to contact me long after being asked to cease communication. between fall 2013-spring 2016. upon conversation with dean of faculty and vp for institutional diversity and equity, it was revealed that this has been a pattern in this man's conduct toward young women of color--both students and professors--for more than a decade. no institutional response that I am privy to. he is still allowed to vote on my tenure case. ",first-third year assistant professor,first-third year assistant professor,"associate and then full professor, promoted DURING investigation",Male,Male,Literature,Regional College,Undergraduate Student,Faculty,Humanities
26,1953,"Between 1997-200 this happened a lot with one particular fellow student,peer, and poet (who is now a prominent literary critic in Canada).  It began when he showed interest in helping me improve my writing.  Although married, he invited me out for coffee to discuss my writing and tell me how I could ""fix it"".  He did not look at my work beyond a line or two, but he flirted heavily with me and proceeded to explain to me what was wrong with women's poetry.  I have heard that he did this coffee invitation thing to a lot of women poets.","grad student, TA.","Grad Student, Ta.","fellow student, fellow poet in the writing community, influential critic",Male,Male,Creative Writing,Other Type of School,Graduate Student,Undergraduate Student,Humanities
27,1040,"I was in my second semester of a 4 semester program (2 academic yrs) in an engineering lab run by the lecture instructor. I was holding a heavy piece of laboratory equipment with both hands when the lecture instructor walked over to me and poked me in the stomach and asked if I was ticklish. I asked, ""Excuse me?"" and he repeated the action and the question. Another female classmate stood by watching with her mouth open stunned into speechlessness and asked if I was okay after. I had classes and labs led by this instructor all four semesters of that program before I transferred to another institution to finish my Bachelor of Science in Engineering.",Student,Student,Instructor/Professor,Male,Male,Petroleum Engineering,Other Type of School,Undergraduate Student,Faculty,Applied science
28,130,"Intermittent inappropriate comments, whether on outfit or marital status combined with total disengagement with me as an intellectual. Public hostility and criticism without even pretending to read my work; patronizing and insulting in front of graduate students.",Junior,Junior,Senior colleague in field; current head of promotion case,Male,Male,History,Elite Institution,Undergraduate Student,Graduate Student,Humanities
29,1899,Male faculty member given 100% credit for female faculty project,Assistant Professor,Assistant Professor,Professor,Male,Male,Stem,Research Institute,Faculty,Faculty,Formal sciences
30,2244,"In a literature class, an older male professor asked women during class whether they’d ever been sexually harassed in academia. Most of us were uncomfortable and unsure how to answer. He kept asking the question, insisting that he did not think sexual harassment occured at our university. Some of us finally answered that we had witnessed, heard about, or experienced sexual harassment on campus (professors making comments about women’s bodies and appearances, unwanted touching, etc.), but kept it general because of the classroom setting we were in. One of my colleagues in class had experienced harassment, making this conversation very awkward and personal. All of the men were staring at the women with disbelief, waiting for us to share personal details of trauma. After we shared vague and anonymous accounta, the professor looked incredulous and proceeded to question whether our experiences had really occurred. I think he was genuinely in disbelief, but somehow didn’t realize that he was contributing to the problem. This professor also routinely made comments in class about undergraduate students’ bodies and clothing. 

Another “celebrity” literature professor told students in class that women tend to be smart or pretty, and rarely both. He treated women who dressed in more feminine clothing much differently in class than other women. He would rush to assist them with simple tasks and comment on how nice they looked. ",Graduate Student,Graduate Student,Professor,Man,Other,Literature,Research Institute,Graduate Student,Faculty,Humanities
31,726,"-older male colleague making a point to single me out as a young woman on faculty recruiting tour, not comfortable with me “driving on my own in the late afternoon or early evening.”  —older male colleague mimicking the sound of my high heels in a “humorous” way.","Assistant Professor, 2nd year","Assistant Professor, 2Nd Year","Full Professor, 41st year",Male,Male,Music,Research Institute,Faculty,Undergraduate Student,Humanities
32,1618,This incident took place at the yearly American Astronomical Society's meeting. I met someone slightly more senior than myself and he bought me a beer as we discussed my work. We parted ways about 30 min later. A couple weeks later I received some letters in the mail via my university address. They all revolved around a common theme of his large penis size.,Graduate student,Graduate Student,Postdoc,Male,Male,Astronomy,Research Institute,Graduate Student,Graduate Student,Natural sciences
33,679,"(1) One night on a required field trip for a geology course, I was asked by my professor to ""take a walk in the woods"" with him. I declined his offer, but I worried about the effects that might have had on my grade. Also, this was after most people, including myself, had been drinking around the campfire. The timing makes me think that that was a common strategy for him: get the undergrads drunk and then prey on them. I had this professor for multiple courses after that incident and I didn't feel comfortable going to his office hours or being alone in a room with him. (2) While doing field work this past summer (2017), one of my collaborators repeatedly approached me from behind and rubbed his crotch against me. I could feel his erect penis against my back. It was always under the guise of pointing at a map or ""showing"" me how to use a rock saw (which I already knew how to do, and told him so many times). Officially, I was directing the field campaign, but each time this happened, I froze. I haven't made any formal complaints, because if I want to continue working in that field area, I will have to collaborate with this person.",(1) Sophomore undergraduate (19 years old); (2) PhD candidate (25 years old),(1) Sophomore undergraduate (19 years old); (2) PhD candidate (25 years old),(1) My professor; (2) Senior research collaborator - works for a government agency,Male,Male,Geology,Research Institute,Graduate Student,Graduate Student,Natural sciences
34,1678,"A student sitting in the back of the room asked for my phone number at the end of a class, a faculty ejected every non-white non-male student from his research working group and created a racially and gender exclusive space for the white men in the department, during the hiring process the dept chair commented about running a maternity ward, other phd students forged a departmental letter saying I would lose funding because the gender ratio was off in the department, I got yelled at when I questioned how only men taught theory as both faculty and teaching assistants while women were relegated to methods and intro, etc etc and these are only my personal experiences!",Phd student,Phd Student,Ranged from undergrads to grad students to faculty,Male,Male,Sociology,Research Institute,Graduate Student,Graduate Student, Social sciences
35,1293,"I was a first-year grad student at my first academic conference, and I met a professor with some status in my field.  I was star-struck.  He invited me to join him for dinner.  Yes, I really was naive enough to think it was purely professional, since we were both married, and we'd only talked about our work and studies.  Then he started hitting on me.  (It seems his wife had little or no interest in him and his work, and he didn't think my husband should be any impediment.) I made my lack of interest clear, and he backed off.  When I've seen him since, he's been friendly, but not inappropriately so.  ",First-year grad student.  ,First-Year Grad Student.  ,Full professor and editor of a journal in my field.,Male,Male,Medieval Studies,Multiple,Graduate Student,Faculty,Humanities
36,773,"Between 2015-2016 I attended a program known for its conservative-right wing leaning policy research and support. There, I was subjected to all kinds of harassment, including degrading comments related to my past (I was internationally trafficked in the sex industry as a teenager), labeled a whore, subjected to gender based discrimination and other forms of violence. One of my professors, a PI on a study my classmates and I worked on as part of our class assignments, failed to end a particularly problematic interview with an individual who had been released from prison, where he was sentenced to serve time for violent crimes, notably for domestic and gender based violence. The PI allowed the individual in question to engage in sexual harassment by making crude comments on my appearance, on my ethnicity, right after talking about his sexual exploits with few different women. The PI did not intervene even when the individual propositioned me for sex, and after the interview she blamed me for the outcome, and minimized the situation.",Graduate student ,Graduate Student ,"Professors, Dean",Various incidents with people of different genders,Other,Criminal Justice,Research Institute,Graduate Student,Chair/Dean/Head, Social sciences
37,590,"Numerous incidents during PhD (20 years ago). Supervisors making sexual remarks, comments about my body, unwanted touching, lifting skirt in front of students, blocking door so I didn't feel able to get out.",PhD student and teaching assistant,PhD student and teaching assistant,PhD supervisors,Male,Male,Psychology,Research Institute,Graduate Student,Graduate Student, Social sciences
